	PD4781c_lo0001	PD4781c_lo0002	PD4781c_lo0004	PD4781c_lo0005	PD4781c_lo0006	PD4781c_lo0007	PD4781c_lo0008	PD4781c_lo0009	PD4781c_lo0010	PD4781c_lo0011	PD4781c_lo0013	PD4781c_lo0014	PD4781c_lo0015	PD4781c_lo0016	PD4781c_lo0017	PD4781c_lo0018	PD4781c_lo0019	PD4781c_lo0020	PD4781c_lo0021	PD4781c_lo0022	PD4781c_lo0023	PD4781c_lo0024	PD4781c_lo0025	PD4781c_lo0026	PD4781c_lo0027	PD4781c_lo0028	PD4781c_lo0029	PD4781c_lo0030	PD4781c_lo0031	PD4781c_lo0033	PD4781c_lo0034	PD4781c_lo0035	PD4781c_lo0036	PD4781c_lo0039	PD4781c_lo0040	PD4781c_lo0041	PD4781c_lo0042	PD4781c_lo0043	PD4781c_lo0044	PD4781d_lo0001	PD4781d_lo0002	PD4781d_lo0003	PD4781d_lo0005	PD4781d_lo0006	PD4781d_lo0007	PD4781d_lo0009	PD4781d_lo0010	PD4781d_lo0011	PD4781d_lo0014	PD4781d_lo0015	PD4781d_lo0017	PD4781d_lo0019	PD4781d_lo0020	PD4781d_lo0021	PD4781d_lo0022	PD4781d_lo0023	PD4781d_lo0026	PD4781d_lo0028	PD4781d_lo0029	PD4781d_lo0031	PD4781d_lo0032
PD4781c_lo0001	0	1233	1648	1175	1045	1170	1218	1184	1159	1136	1102	1230	1164	1058	1197	1087	1096	1115	1142	2845	1151	1158	1274	1111	1185	1168	1206	1191	1122	1062	1227	1091	1196	1422	1334	1458	1265	1420	1395	3477	1454	1305	2912	1248	1382	1279	1130	1202	1245	1181	3025	3198	1287	1178	1193	1371	1205	1267	1111	1302	1175
PD4781c_lo0002	1233	0	1665	1182	1114	1153	1225	1153	1248	1115	1077	1229	1121	1103	1188	1054	1135	1114	1129	2804	1128	1161	1249	948	1174	1179	1215	1156	1093	1041	1174	1084	1121	1369	1243	1509	1340	1267	1392	3460	1453	1310	2887	1237	1355	1228	1183	1225	1190	1198	3040	3187	1266	1239	1198	1346	1186	1260	1146	1303	1250
PD4781c_lo0004	1648	1665	0	1657	1557	1548	1672	1556	1701	1614	1544	1720	1550	1540	1609	1507	1572	1553	1630	3329	1565	1656	1738	1571	1661	1642	1698	1625	1486	1466	1701	1587	1624	1822	1816	1936	1783	1882	1863	2749	1916	1783	2176	1736	1792	1763	1626	1702	1675	1675	2317	2472	1675	1652	1667	1797	1641	1713	1565	1804	1727
PD4781c_lo0005	1175	1182	1657	0	1066	1139	1161	1185	1188	1107	1027	1177	1117	1029	1194	1052	1087	1062	1081	2804	1138	1089	1253	1076	1162	1173	1119	1164	1123	1031	1214	1020	1179	1385	1333	1457	1288	1385	1318	3434	1381	1224	2877	1167	1383	1242	1135	1147	1226	1090	2990	3135	1278	1175	1088	1348	1178	1210	1138	1221	1272
PD4781c_lo0006	1045	1114	1557	1066	0	1073	1139	1107	1070	1025	999	1125	1071	961	1114	1008	993	1030	1029	2730	1060	1035	1173	1022	1072	1051	1093	1110	1047	977	1136	980	1111	1307	1229	1349	1166	1333	1294	3386	1339	1180	2821	1133	1303	1176	1047	1107	1158	1078	2926	3089	1208	1061	1084	1306	1120	1164	1004	1185	1142
PD4781c_lo0007	1170	1153	1548	1139	1073	0	1152	1068	1209	1082	1018	1174	996	1074	1067	955	1090	1025	1100	2773	1029	1102	1220	1021	1147	1172	1146	1103	1004	900	1147	1051	1094	1328	1338	1444	1305	1366	1347	3413	1410	1261	2854	1200	1276	1215	1148	1168	1133	1133	2977	3132	1151	1188	1143	1261	1131	1205	1119	1242	1243
PD4781c_lo0008	1218	1225	1672	1161	1139	1152	0	1178	1235	1146	1054	1130	1122	1098	1189	1043	1148	1069	1122	2839	1139	1132	1298	1023	1213	1228	1108	1185	1108	1052	1215	1065	1152	1400	1400	1518	1361	1424	1323	3513	1420	1211	2906	1230	1372	1291	1188	1192	1187	1163	3049	3220	1267	1240	1177	1355	1179	1231	1187	1208	1307
PD4781c_lo0009	1184	1153	1556	1185	1107	1068	1178	0	1221	1110	1028	1198	1040	1102	1103	1007	1118	1071	1120	2805	1063	1154	1220	1017	1159	1196	1182	1129	998	960	1127	1075	1106	1342	1348	1478	1333	1344	1367	3465	1426	1275	2900	1222	1274	1235	1162	1204	1177	1173	3011	3190	1169	1220	1185	1269	1119	1257	1143	1274	1235
PD4781c_lo0010	1159	1248	1701	1188	1070	1209	1235	1221	0	1161	1103	1231	1177	1071	1228	1122	1109	1142	1153	2846	1180	1169	1279	1146	1198	1177	1181	1240	1177	1101	1262	1114	1243	1443	1371	1473	1252	1461	1360	3478	1463	1278	2913	1237	1415	1290	1157	1225	1282	1210	3036	3199	1310	1209	1216	1404	1238	1278	1124	1259	1256
PD4781c_lo0011	1136	1115	1614	1107	1025	1082	1146	1110	1161	0	1004	1144	1054	1032	1117	991	1046	1047	1052	2719	1069	1080	1182	1027	1099	1146	1120	1099	1042	974	1133	1011	1100	1312	1304	1418	1251	1336	1311	3363	1362	1225	2824	1168	1296	1171	1104	1124	1151	1113	2935	3108	1183	1144	1103	1293	1153	1181	1081	1230	1231
