	PD5117aa	PD5117ab	PD5117ac	PD5117ad	PD5117ae	PD5117af	PD5117ag	PD5117ah	PD5117ai	PD5117aj	PD5117ak	PD5117al	PD5117am	PD5117an	PD5117ao	PD5117ap	PD5117aq	PD5117as	PD5117at	PD5117au	PD5117av	PD5117aw	PD5117ax	PD5117az	PD5117ba	PD5117bb	PD5117bc	PD5117bd	PD5117be	PD5117bf	PD5117bg	PD5117bh	PD5117bi	PD5117bj	PD5117bk	PD5117bl	PD5117bm	PD5117bn	PD5117bo	PD5117bp	PD5117br	PD5117bs	PD5117bt	PD5117bu	PD5117bv	PD5117bw	PD5117bx	PD5117by	PD5117bz	PD5117ca	PD5117cb	PD5117cc	PD5117cd	PD5117ce	PD5117cg	PD5117ch	PD5117ci	PD5117cj	PD5117ck	PD5117cl	PD5117cm	PD5117cn	PD5117co	PD5117cp	PD5117cq	PD5117cr	PD5117cs	PD5117ct	PD5117cu	PD5117cv	PD5117cw	PD5117cx	PD5117cy	PD5117cz	PD5117da	PD5117db	PD5117dc	PD5117dd	PD5117de	PD5117n	PD5117s	PD5117t	PD5117u	PD5117v	PD5117w	PD5117x	PD5117y	PD5117z
PD5117aa	0	5241	5225	5103	4799	4400	4856	4682	4588	4347	4875	4493	5137	5095	5247	4781	4941	4910	4582	4689	4292	4030	5130	4638	4523	4823	4759	4860	4734	4804	4411	4554	4621	4352	4604	5312	4610	3935	4873	4483	4903	4798	4308	4587	4555	5059	4306	4838	4769	4363	4426	4621	4772	4789	5032	4660	4059	4583	4486	4750	4135	5096	4741	4922	4867	4452	5235	4645	4571	4420	4581	3810	3956	4542	4793	5116	4694	4759	4701	4845	4882	4585	3988	5247	4678	4731	4698	4506
PD5117ab	5241	0	5360	5816	4960	5059	5023	4861	5291	5354	5072	5172	5294	5230	5362	4934	5072	5613	5621	5540	4639	5055	5233	4825	5288	4978	5424	5549	5459	4967	5026	5251	5314	5389	4771	5467	5431	4730	5058	5298	5056	5511	5019	4764	5570	5212	5373	5491	5020	5378	5095	4756	5537	4956	5229	5425	4876	4722	4683	5423	5130	5255	4900	5633	5606	5105	5394	5460	4782	5433	5608	4823	4989	4719	4992	5277	4841	5748	5506	5006	5029	5324	4997	5392	5395	5408	5311	5255
PD5117ac	5225	5360	0	5748	4954	5033	4953	4831	5249	5304	5000	5114	5304	5174	4928	4892	3602	5535	5569	5492	4589	5005	5215	4743	5260	4924	5414	5515	5343	4921	4982	5201	5276	5349	4735	5393	5393	4670	4986	5236	5026	5451	4991	3690	5486	5190	5325	5425	4962	5328	5053	4720	5501	4916	5199	5349	4828	4660	4643	5375	5078	5197	4880	5625	5554	5095	5310	5432	4750	5379	5556	4787	4939	4687	4944	5241	4785	5722	5486	4998	5005	5268	4983	5344	5295	5358	5253	5187
PD5117ad	5103	5816	5748	0	5366	4765	5361	5249	4867	5198	5426	4820	5678	5608	5784	5278	5498	5381	5449	5342	4811	4921	5649	5195	5116	5336	5278	4687	5089	5319	4958	4427	5114	5209	5105	5833	5227	4600	5414	5132	5410	5321	4815	5128	5412	5588	5207	5215	5318	5230	4847	5160	5417	5320	5603	5193	4730	5130	5043	5125	4966	5661	5246	5393	5476	4315	5764	5306	5160	5239	5410	4657	4835	5075	5340	5665	5237	5586	5370	5382	5437	5044	4859	5726	5157	4562	5243	4945
PD5117ae	4799	4960	4954	5366	0	4621	4521	4429	4829	4910	4614	4718	4882	4794	4942	4480	4654	5171	5171	5084	4179	4625	4871	4399	4812	4546	4996	5111	4975	4503	4596	4801	4904	4927	4295	4987	4975	4264	4576	4818	4608	5079	4577	4334	5100	4774	4891	5083	4580	4912	4665	4348	5117	4510	4767	4937	4416	4254	4223	5001	4694	4801	4454	5207	5158	4667	4980	5014	4352	4981	5160	4359	4545	4237	4524	4821	4429	5318	5086	4558	4617	4854	4543	4964	4889	4954	4857	4755
PD5117af	4400	5059	5033	4765	4621	0	4650	4542	4230	4497	4709	4057	4963	4897	5059	4599	4757	4660	4760	4611	4102	4188	4944	4494	4419	4613	4575	4500	4264	4622	4225	4174	4385	4510	4406	5112	4568	3881	4663	4401	4689	4606	4106	4419	4695	4877	4488	4382	4603	4483	4140	4429	4708	4607	4848	4476	4007	4373	4316	4316	4259	4912	4549	4694	4745	4080	5055	4627	4425	4538	4733	3960	4118	4338	4607	4926	4532	4915	4681	4671	4720	4309	4146	5049	4432	4367	4494	4272
PD5117ag	4856	5023	4953	5361	4521	4650	0	4430	4878	4925	4623	4761	4929	4839	5005	4505	4679	5210	5192	5097	4212	4612	4848	4390	4863	4561	5023	5132	4998	4550	4635	4826	4909	4948	4360	5032	5030	4337	3679	4845	3697	5102	4580	4333	5153	4799	4898	5126	4597	4965	4672	4341	5150	4537	4800	4956	4427	4297	4270	5022	4703	4834	4469	5246	5211	4746	4997	5053	4387	4998	5167	4384	4546	4290	4555	4864	4438	5319	5081	4627	4638	4905	4604	4995	4942	4999	4890	4822
PD5117ah	4682	4861	4831	5249	4429	4542	4430	0	4698	4767	4485	4629	4755	4679	4853	4337	4545	5072	5034	4953	4056	4480	4710	4232	4719	4421	4901	5024	4862	4398	4445	4674	4751	4812	4186	4884	4868	4175	4507	4707	4501	4954	4428	4203	5011	4651	4804	4968	4471	4821	4544	4227	4970	4391	4664	4838	4305	4151	4124	4884	4561	4708	4349	5126	5073	4604	4839	4883	4207	4848	5035	4246	4420	4132	4389	4734	4270	5205	4947	4495	4472	4747	4456	4835	4784	4869	4744	4688
PD5117ai	4588	5291	5249	4867	4829	4230	4878	4698	0	4673	4929	4343	5157	5103	5269	4803	4975	4834	4938	4835	4276	4392	5158	4696	4635	4845	4767	4624	4598	4822	4403	4314	4589	4722	4600	5310	4764	4083	4905	4631	4911	4808	4278	4603	4903	5089	4692	4674	4831	4711	4360	4639	4924	4813	5050	4652	4197	4587	4548	4598	4457	5114	4753	4914	4969	4178	5263	4791	4661	4712	4915	4164	4338	4552	4825	5154	4720	5097	4861	4887	4924	4551	4336	5245	4648	4453	4666	4450
PD5117aj	4347	5354	5304	5198	4910	4497	4925	4767	4673	0	4968	4572	5238	5164	5318	4856	5034	5047	4429	4802	4389	3703	5201	4753	4624	4894	4830	4961	4817	4861	4490	4615	4702	4071	4677	5349	4709	4008	4920	4538	4958	4879	4393	4682	4322	5164	4205	4901	4818	4228	4511	4662	4841	4884	5127	4743	4110	4626	4593	4835	3826	5167	4804	5083	4988	4523	5326	4716	4672	4181	4264	3805	3561	4607	4862	5211	4783	4438	4744	4892	4977	4698	3831	5322	4759	4806	4769	4589
PD5117ak	4875	5072	5000	5426	4614	4709	4623	4485	4929	4968	0	4798	4966	4884	5016	4550	4742	5253	5225	5128	4263	4703	4885	4419	4896	4608	5108	5181	5045	4577	4650	4877	4934	5029	4405	5079	5021	4388	4660	4884	4684	5103	4629	4380	5174	4846	4953	5109	4662	4998	4719	4378	5183	4572	4839	4991	4476	4386	4261	5079	4740	4889	4492	5321	5250	4743	5002	5088	4422	5033	5198	4437	4591	4319	4598	4931	4487	5392	5178	4598	4669	4912	4607	5016	4995	5048	4931	4853
PD5117al	4493	5172	5114	4820	4718	4057	4761	4629	4343	4572	4798	0	5060	5012	5156	4666	4870	4751	4841	4720	4203	4275	5027	4561	4536	4722	4680	4591	4403	4717	4322	4291	4482	4597	4515	5183	4645	3966	4790	4490	4790	4689	4161	4502	4782	4992	4549	3583	4696	4610	4209	4538	4803	4708	4975	4573	4086	4498	4403	3549	4338	5011	4594	4809	4852	4143	5128	4690	4514	4659	4830	4037	4193	4421	4726	5041	4639	5026	4760	4772	4787	4418	4241	5146	4541	4424	4577	4351
PD5117am	5137	5294	5304	5678	4882	4963	4929	4755	5157	5238	4966	5060	0	5156	5294	4830	4984	5495	5453	5376	4505	4915	5169	4703	5140	4838	5340	5435	5301	4867	4904	5123	5202	5273	4677	5351	5289	4626	4942	5166	4958	5389	4919	4646	5426	5122	5223	5361	4890	5228	4989	4674	5481	4850	5147	5265	4722	4634	4589	5327	5008	5163	4792	5553	5500	5049	5300	5330	4672	5291	5472	4673	4847	4591	4868	5163	4763	5632	5404	4936	4963	5192	4897	5282	5213	5302	5199	5105
PD5117an	5095	5230	5174	5608	4794	4897	4839	4679	5103	5164	4884	5012	5156	0	5244	4752	4920	5433	5415	5316	4447	4871	5089	4657	5078	4810	5286	5381	5211	4803	4838	5053	5146	5185	4565	5259	5237	4544	4866	5076	4882	5319	4829	4592	5380	5052	5151	5355	4836	5188	4929	4600	5367	4798	5061	5197	4670	4548	4495	5257	4940	5091	4718	5497	5450	4945	5222	5266	4620	5223	5414	4619	4791	4525	4792	5113	4677	5564	5328	4842	4853	5138	4813	5186	5167	5232	5131	5041
PD5117ao	5247	5362	4928	5784	4942	5059	5005	4853	5269	5318	5016	5156	5294	5244	0	4908	4658	5587	5587	5488	4577	5027	5227	4787	5258	4944	5452	5545	5435	4919	5016	5233	5286	5357	4749	5451	5417	4724	5016	5252	5026	5467	4989	4312	5522	5176	5327	5503	4994	5348	5073	4750	5499	4952	5195	5373	4840	4716	4663	5397	5090	5219	4898	5651	5572	5093	5370	5426	4770	5377	5534	4789	4941	4679	4958	5269	4801	5738	5510	4978	5023	5246	4987	5364	5341	5378	5307	5207
PD5117ap	4781	4934	4892	5278	4480	4599	4505	4337	4803	4856	4550	4666	4830	4752	4908	0	4602	5109	5105	5004	4119	4539	4765	4323	4782	4466	4976	5075	4913	4465	4542	4753	4806	4873	4245	4965	4929	4246	4532	4762	4532	5011	4513	4272	5024	4726	4877	5023	4516	4910	4597	4262	5091	4460	4735	4945	4362	4226	4201	4951	4628	4735	4410	5157	5136	4655	4868	4946	4292	4911	5100	4285	4465	4187	4470	4789	4349	5266	5024	4522	4525	4802	4483	4864	4871	4894	4803	4731
PD5117aq	4941	5072	3602	5498	4654	4757	4679	4545	4975	5034	4742	4870	4984	4920	4658	4602	0	5315	5269	5174	4283	4727	4943	4497	4958	4664	5132	5241	5093	4629	4708	4933	5004	5055	4419	5139	5099	4422	4698	4948	4712	5169	4703	3412	5222	4926	5053	5233	4674	5032	4775	4466	5237	4630	4907	5079	4518	4376	4349	5139	4806	4937	4586	5369	5296	4841	5074	5138	4490	5077	5272	4507	4671	4363	4634	4973	4511	5432	5200	4728	4715	4980	4663	5080	5025	5086	4989	4875
PD5117as	4910	5613	5535	5381	5171	4660	5210	5072	4834	5047	5253	4751	5495	5433	5587	5109	5315	0	5278	5165	4618	4722	5458	5008	4933	5151	5077	5106	5024	5150	4773	4820	4905	5062	4962	5660	5066	4403	5197	4951	5259	5144	4614	4947	5235	5421	5012	5094	5149	5057	4578	4987	5200	5157	5412	5016	4537	4921	4844	5000	4807	5440	5083	4688	5309	4684	5609	5131	4967	5084	5247	4524	4658	4868	5177	5482	5078	5435	5187	5223	5242	4631	4698	5589	4990	4991	5032	4590
PD5117at	4582	5621	5569	5449	5171	4760	5192	5034	4938	4429	5225	4841	5453	5415	5587	5105	5269	5278	0	5013	4666	4160	5490	5012	4871	5161	5119	5220	5094	5152	4755	4914	4965	4462	4952	5644	4940	4289	5171	4821	5247	5174	4690	4955	4653	5431	4482	5160	5077	4505	4776	4961	5126	5117	5376	5026	4389	4911	4864	5134	4219	5446	5085	5336	5225	4814	5573	4991	4927	4496	4659	4078	4054	4876	5171	5462	5032	4841	5055	5203	5248	4957	3882	5567	5010	5083	5048	4898
PD5117au	4689	5540	5492	5342	5084	4611	5097	4953	4835	4802	5128	4720	5376	5316	5488	5004	5174	5165	5013	0	4541	4481	5359	4889	4782	5064	5016	5083	4975	5037	4650	4783	4858	4787	4839	5531	4745	4112	5116	4528	5116	5057	4555	4830	5014	5296	4785	5051	5020	4790	4679	4882	4581	4996	5291	4953	4144	4800	4729	5007	4554	5339	4958	5237	5124	4671	5488	4756	4832	4871	5028	4259	4419	4769	5078	5369	4955	5206	4808	5110	5145	4836	4425	5448	4923	4964	4935	4801
PD5117av	4292	4639	4589	4811	4179	4102	4212	4056	4276	4389	4263	4203	4505	4447	4577	4119	4283	4618	4666	4541	0	4076	4474	4018	4313	4177	3823	4590	4444	4144	4071	4248	4203	4414	3948	4682	4468	3759	4237	4311	4253	4482	3984	3943	4589	4431	4374	4540	4181	4397	4112	3951	4594	4131	4418	4388	3875	3913	3866	4468	4159	4450	4101	4716	4657	4148	4585	4493	3995	4434	4637	3828	4002	3892	4147	4482	4052	4773	4555	4213	4264	4345	4038	4577	4304	4405	4364	4242
PD5117aw	4030	5055	5005	4921	4625	4188	4612	4480	4392	3703	4703	4275	4915	4871	5027	4539	4727	4722	4160	4481	4076	0	4908	4448	4313	4571	4575	4642	4520	4562	4175	4324	4413	3772	4366	5064	4382	3721	4637	4243	4655	4622	4104	4403	4033	4845	3912	4606	4537	3951	4202	4369	4540	4563	4828	4464	3847	4331	4270	4552	3499	4868	4499	4788	4669	4218	5049	4443	4371	3906	3877	3506	3330	4290	4571	4880	4452	3953	4479	4651	4688	4389	3514	4989	4460	4507	4468	4320
PD5117ax	5130	5233	5215	5649	4871	4944	4848	4710	5158	5201	4885	5027	5169	5089	5227	4765	4943	5458	5490	5359	4474	4908	0	4676	5135	4831	5327	5390	5270	4796	4855	5106	5143	5208	4618	5338	5268	4603	4879	5139	4897	5342	4880	4601	5409	5057	5214	5352	4855	5237	4974	4613	5434	4797	5058	5232	4711	4601	4526	5302	4993	5100	4759	5508	5485	4984	5241	5319	4643	5234	5455	4680	4814	4558	4823	5146	4700	5585	5357	4877	4932	5145	4856	5235	5220	5253	5148	5090
