	PD5147c_lo003	PD5147c_lo004	PD5147c_lo006	PD5147c_lo009	PD5147c_lo010	PD5147c_lo011	PD5147c_lo012	PD5147c_lo013	PD5147c_lo017	PD5147c_lo018	PD5147c_lo024	PD5147c_lo028	PD5147c_lo032	PD5147c_lo041	PD5147c_lo042	PD5147c_lo043	PD5147c_lo044	PD5147c_lo045	PD5147c_lo047	PD5147c_lo048	PD5147c_lo049	PD5147c_lo050	PD5147c_lo051	PD5147c_lo052	PD5147c_lo053	PD5147c_lo054	PD5147c_lo055	PD5147c_lo056	PD5147c_lo057	PD5147c_lo058	PD5147c_lo059	PD5147c_lo060	PD5147c_lo061	PD5147c_lo062	PD5147c_lo063	PD5147c_lo064	PD5147c_lo065	PD5147c_lo066	PD5147c_lo067	PD5147c_lo068	PD5147c_lo069	PD5147c_lo070	PD5147c_lo071	PD5147c_lo072	PD5147c_lo073	PD5147c_lo074	PD5147c_lo075	PD5147c_lo076	PD5147c_lo077	PD5147c_lo078	PD5147c_lo079	PD5147c_lo080	PD5147c_lo081	PD5147c_lo082	PD5147c_lo083	PD5147c_lo084	PD5147c_lo085	PD5147c_lo086	PD5147c_lo087	PD5147c_lo088	PD5147c_lo089	PD5147c_lo090	PD5147c_lo091	PD5147c_lo092	PD5147c_lo093	PD5147c_lo094
PD5147c_lo003	0	2835	2899	3044	2897	3096	2984	2714	2864	2953	3137	2996	2182	3028	3387	3127	3200	3207	3203	3012	3282	3198	3088	3274	2923	2581	2551	3445	3198	3226	3464	3160	3383	2509	3113	3214	3209	3177	3209	3282	3098	2969	3101	3225	3201	3355	3193	3347	3363	3102	3256	2571	3162	3270	3109	3042	3373	3246	3306	3148	3464	3283	2945	3197	3244	3331
PD5147c_lo004	2835	0	2430	2601	2450	2675	2489	2301	2399	2454	2650	2579	2449	2877	2918	2720	2691	2804	2796	2605	2875	2963	2641	2867	2826	2856	2818	2984	2835	2997	3027	2841	2976	2742	2692	2761	2760	2744	2828	2813	2743	2614	2660	2760	2680	2918	2758	2978	2894	2657	2857	2858	2843	2863	2668	2575	3044	2771	2891	2857	3033	2884	2686	2738	2751	2896
PD5147c_lo006	2899	2430	0	2587	2506	2721	2225	2355	2411	2164	2734	2633	2469	2915	2600	2770	2791	2840	2866	2681	2915	2983	2143	2899	2872	2908	2876	2836	2859	3111	2529	2889	3048	2766	2684	2763	2760	2726	2896	2815	2783	2666	2646	2758	2814	2908	2766	2940	2910	2689	2935	2884	2901	2875	2548	2569	3050	2639	2883	2905	3077	2934	2748	2734	2839	2902
PD5147c_lo009	3044	2601	2587	0	2649	2862	2632	2506	2528	2605	2863	2756	2614	3022	3041	2883	2902	2981	2991	2810	3052	3104	2772	3010	2983	3025	2995	3129	3010	3206	3152	3014	3153	2903	2777	2878	2887	2907	3007	2960	2922	2805	2791	2963	2955	3057	2911	2827	3059	2820	3034	3033	3030	3008	2811	2696	3121	2884	3016	3028	3180	3071	2855	2871	2976	2987
PD5147c_lo010	2897	2450	2506	2649	0	2711	2575	2353	2491	2544	2730	2631	2489	2921	2964	2764	2813	2836	2868	2667	2927	2987	2719	2827	2856	2910	2874	3052	2887	3083	3099	2865	3000	2768	2746	2825	2836	2806	2798	2883	2779	2658	2710	2844	2798	2970	2830	3030	2988	2723	2923	2906	2871	2929	2738	2641	3052	2827	2945	2895	2985	2922	2714	2810	2873	2976
PD5147c_lo011	3096	2675	2721	2862	2711	0	2766	2552	2692	2705	2949	2814	2690	3120	3165	2957	3018	3043	3059	2884	3110	3182	2910	3044	3049	3077	3069	3225	3060	3314	3268	3076	3169	2969	2953	3028	3033	3023	3091	3090	2956	2857	2933	3085	3017	3177	3019	3225	3195	2926	3070	3085	3084	3128	2917	2846	3257	3038	3140	3110	3164	3117	2935	3005	3050	3175
PD5147c_lo012	2984	2489	2225	2632	2575	2766	0	2422	2486	2203	2779	2702	2542	3004	2615	2825	2844	2905	2935	2740	2964	3058	2420	2984	2931	2975	2949	2915	2928	3150	2812	2942	3085	2839	2731	2814	2813	2805	2933	2876	2874	2713	2695	2809	2875	2967	2829	2989	2987	2736	2972	2985	2962	2948	2589	2632	3109	2682	2928	2954	3132	2985	2815	2791	2904	2927
PD5147c_lo013	2714	2301	2355	2506	2353	2552	2422	0	2344	2379	2583	2364	2304	2724	2821	2395	2650	2569	2649	2478	2558	2804	2568	2760	2689	2687	2669	2889	2682	2928	2946	2728	2887	2577	2573	2684	2693	2653	2737	2748	2574	2291	2575	2711	2675	2829	2675	2865	2845	2558	2716	2709	2636	2780	2597	2492	2877	2686	2790	2738	2898	2673	2547	2643	2718	2825
PD5147c_lo017	2864	2399	2411	2528	2491	2692	2486	2344	0	2421	2677	2608	2450	2906	2879	2733	2768	2833	2829	2674	2902	2990	2608	2894	2851	2879	2857	2925	2876	3072	3006	2876	3037	2743	2661	2532	2565	2719	2867	2664	2756	2635	2637	2787	2775	2755	2715	2929	2703	2674	2922	2901	2890	2852	2641	2540	3051	2734	2852	2876	3062	2925	2687	2693	2820	2861
PD5147c_lo018	2953	2454	2164	2605	2544	2705	2203	2379	2421	0	2762	2665	2519	2945	2586	2766	2797	2840	2886	2677	2941	3023	2365	2935	2888	2930	2916	2844	2909	3123	2765	2909	3078	2798	2696	2773	2766	2764	2912	2835	2813	2672	2670	2770	2852	2920	2780	2970	2944	2709	2965	2936	2907	2889	2544	2585	3070	2653	2905	2931	3085	2950	2760	2764	2867	2932
PD5147c_lo024	3137	2650	2734	2863	2730	2949	2779	2583	2677	2762	0	2845	2709	3167	3216	3002	3007	3088	3094	2927	3165	3253	2931	3165	3102	3150	3104	3270	3125	3339	3323	3135	3298	3014	2970	3075	3078	3042	3120	3125	3005	2874	2964	3076	3032	3210	3064	3270	3216	2947	3169	3146	3123	3179	2956	2869	3334	3061	3187	3145	3311	3172	2948	3024	3079	3186
PD5147c_lo028	2996	2579	2633	2756	2631	2814	2702	2364	2608	2665	2845	0	2568	3018	3083	2763	2918	2557	2931	2758	2928	3090	2806	3016	2943	2967	2957	3159	2978	3192	3208	2976	3149	2841	2867	2930	2935	2911	2977	2986	2842	2639	2851	2957	2939	3085	2943	3141	3103	2818	2974	3001	2606	3042	2837	2768	3157	2954	3062	2980	3186	2517	2843	2885	2990	3065
