	PD5163d_lo0001	PD5163d_lo0002	PD5163d_lo0003	PD5163d_lo0004	PD5163d_lo0005	PD5163d_lo0006	PD5163d_lo0007	PD5163d_lo0008	PD5163d_lo0010	PD5163d_lo0011	PD5163d_lo0012	PD5163d_lo0013	PD5163d_lo0014	PD5163d_lo0015	PD5163d_lo0016	PD5163d_lo0017	PD5163d_lo0018	PD5163d_lo0019	PD5163d_lo0020	PD5163d_lo0022	PD5163d_lo0023	PD5163d_lo0024	PD5163d_lo0025	PD5163d_lo0026	PD5163d_lo0027	PD5163d_lo0029	PD5163d_lo0031	PD5163d_lo0033	PD5163d_lo0034	PD5163d_lo0035	PD5163d_lo0036	PD5163d_lo0037	PD5163d_lo0038	PD5163d_lo0039	PD5163d_lo0040	PD5163d_lo0041	PD5163d_lo0042	PD5163d_lo0043	PD5163d_lo0044	PD5163d_lo0045	PD5163d_lo0046	PD5163d_lo0051	PD5163d_lo0055	PD5163d_lo0056	PD5163d_lo0057	PD5163d_lo0058	PD5163d_lo0059	PD5163d_lo0063	PD5163d_lo0064	PD5163d_lo0065	PD5163d_lo0066	PD5163d_lo0067	PD5163d_lo0070	PD5163d_lo0072	PD5163d_lo0073	PD5163d_lo0074	PD5163d_lo0076	PD5163d_lo0077	PD5163d_lo0079	PD5163d_lo0080	PD5163d_lo0081	PD5163d_lo0082	PD5163d_lo0084	PD5163d_lo0085	PD5163d_lo0086	PD5163d_lo0088	PD5163d_lo0089	PD5163d_lo0091	PD5163d_lo0092	PD5163d_lo0094
PD5163d_lo0001	0	2721	2984	2693	2767	2582	2955	2737	2939	2909	2651	2674	2881	2833	2691	2883	2811	2835	2773	3075	2908	2818	2722	2667	2829	2833	2778	3008	2398	2689	2833	2701	2548	2863	2877	2834	2838	2812	2676	2687	2728	2664	2692	2935	2662	2798	2310	2431	2906	2855	2557	2704	2616	2674	2874	2916	2749	2581	2440	2777	2890	2820	2746	2702	2720	2877	2668	2889	3206	2593
PD5163d_lo0002	2721	0	2803	2480	2586	2379	2742	2548	2720	2720	2430	2467	2698	2600	2472	2656	2604	2642	2568	2876	2699	2611	2511	2456	2616	2662	2589	2815	2237	2486	2652	2498	2347	2698	2708	2617	2643	2665	2497	2492	2529	2473	2485	2724	2471	2631	2109	2242	2699	2668	2368	2493	2429	2489	2695	2741	2528	2400	2235	2576	2707	2663	2553	2489	2523	2680	2453	2700	2973	2382
PD5163d_lo0003	2984	2803	0	2817	2883	2706	3043	2873	3043	3025	2771	2794	2645	2959	2839	2983	2969	2941	2873	3203	2500	2924	2870	2787	2927	3001	2918	3136	2532	2821	2471	2827	2666	2995	3019	2476	2956	2938	2806	2809	2860	2818	2820	3059	2760	2936	2422	2089	3002	2505	2683	2788	2740	2796	3012	3066	2897	2717	2576	2905	3012	2968	2886	2824	2868	2507	2784	3009	3298	2725
PD5163d_lo0004	2693	2480	2817	0	2554	2397	2758	2546	2706	2698	2456	2479	2712	2614	2516	2682	2652	2630	2584	2900	2703	2611	2551	2472	2626	2664	2595	2803	2241	2508	2648	2532	2355	2680	2728	2637	2637	2639	2513	2516	2565	2499	2501	2738	2475	2639	2137	2240	2701	2676	2382	2495	2411	2525	2677	2767	2536	2394	2251	2584	2715	2653	2575	2515	2533	2662	2487	2688	2989	2414
PD5163d_lo0005	2767	2586	2883	2554	0	2451	2816	2648	2800	2760	2488	2527	2790	2696	2580	2742	2684	2716	2642	2980	2787	2709	2647	2542	2740	2734	2673	2879	2317	2576	2726	2582	2413	2780	2806	2713	2725	2721	2595	2576	2647	2567	2587	2802	2549	2703	2187	2332	2783	2780	2454	2577	2493	2543	2787	2813	2622	2486	2311	2662	2791	2727	2653	2583	2601	2790	2549	2804	3077	2476
PD5163d_lo0006	2582	2379	2706	2397	2451	0	2627	2433	2597	2579	2341	2354	2605	2525	2379	2571	2529	2535	2447	2779	2610	2518	2424	2355	2505	2559	2480	2696	2128	2403	2539	2401	2226	2595	2609	2512	2498	2532	2406	2415	2434	2374	2390	2611	2322	2508	2010	2143	2572	2569	2261	2388	2312	2382	2592	2626	2429	2303	2118	2499	2588	2522	2432	2368	2442	2573	2348	2577	2896	2245
PD5163d_lo0007	2955	2742	3043	2758	2816	2627	0	2788	2992	2494	2702	2735	2954	2884	2768	2910	2896	2886	2814	3136	2967	2847	2783	2724	2866	2904	2863	2569	2485	2762	2894	2322	2601	2952	2550	2895	2887	2881	2749	2748	2777	2735	2757	2992	2699	2889	2385	2540	2925	2960	2626	2761	2701	2737	2909	3031	2816	2660	2501	2838	2569	2909	2809	2751	2793	2940	2745	2956	3271	2654
PD5163d_lo0008	2737	2548	2873	2546	2648	2433	2788	0	2782	2750	2504	2521	2770	2702	2588	2748	2716	2690	2652	2962	2745	2695	2615	2530	2698	2708	2671	2851	2285	2550	2704	2566	2407	2770	2780	2691	2679	2703	2549	2564	2601	2537	2581	2794	2523	2711	2187	2320	2765	2728	2442	2553	2483	2555	2763	2799	2630	2424	2305	2656	2759	2733	2601	2571	2599	2740	2563	2758	3077	2438
PD5163d_lo0010	2939	2720	3043	2706	2800	2597	2992	2782	0	2952	2682	2697	2948	2880	2726	2894	2864	2846	2814	3140	2931	2839	2785	2712	2838	2914	2829	3051	2475	2748	2888	2750	2591	2908	2954	2877	2879	2893	2739	2750	2803	2721	2745	2996	2697	2869	2363	2468	2899	2904	2622	2715	2657	2727	2929	2979	2784	2638	2471	2822	2977	2883	2801	2747	2773	2900	2707	2926	3249	2650
PD5163d_lo0011	2909	2720	3025	2698	2760	2579	2494	2750	2952	0	2644	2667	2920	2826	2706	2866	2850	2840	2760	3088	2935	2847	2731	2686	2820	2880	2819	2443	2431	2714	2852	2290	2555	2888	2496	2859	2861	2833	2717	2694	2729	2685	2701	2964	2651	2851	2341	2460	2897	2892	2600	2707	2621	2717	2917	2971	2750	2608	2457	2802	2517	2869	2759	2715	2739	2874	2691	2882	3203	2632
PD5163d_lo0012	2651	2430	2771	2456	2488	2341	2702	2504	2682	2644	0	2409	2686	2594	2446	2610	2590	2604	2544	2838	2673	2585	2507	2438	2582	2624	2531	2771	2183	2472	2584	2450	2281	2650	2686	2597	2595	2585	2457	2428	2515	2415	2447	2714	2419	2589	2057	2216	2655	2616	2340	2449	2371	2441	2649	2715	2502	2352	2199	2534	2685	2625	2501	2477	2473	2650	2441	2666	2983	2350
