	PD5179aa	PD5179ab	PD5179ac	PD5179ad	PD5179ae	PD5179af	PD5179ag	PD5179ah	PD5179ai	PD5179aj	PD5179ak	PD5179al	PD5179am	PD5179an	PD5179ao	PD5179ap	PD5179aq	PD5179ar	PD5179as	PD5179at	PD5179au	PD5179av	PD5179aw	PD5179ax	PD5179ay	PD5179ba	PD5179bb	PD5179bc	PD5179bd	PD5179be	PD5179bf	PD5179bg	PD5179bh	PD5179bi	PD5179bj	PD5179bk	PD5179bl	PD5179bm	PD5179bo	PD5179bp	PD5179bq	PD5179br	PD5179bs	PD5179bt	PD5179bu	PD5179bv	PD5179bw	PD5179by	PD5179bz	PD5179ca	PD5179cb	PD5179cc	PD5179ce	PD5179cf	PD5179cg	PD5179ch	PD5179ci	PD5179cj	PD5179ck	PD5179cl	PD5179cm	PD5179cn	PD5179co	PD5179cp	PD5179cq	PD5179cr	PD5179cs	PD5179ct	PD5179cu	PD5179cv	PD5179cw	PD5179cx	PD5179cy	PD5179cz	PD5179da	PD5179db	PD5179dc	PD5179dd	PD5179m	PD5179n	PD5179o	PD5179p	PD5179q	PD5179r	PD5179s	PD5179t	PD5179u	PD5179v	PD5179w	PD5179x	PD5179y	PD5179z
PD5179aa	0	1393	1502	1341	1472	1339	1491	1452	1453	1352	1420	1380	1389	1481	1246	1612	1462	1469	1942	1487	1395	1500	2501	1448	1564	1313	1310	1406	1796	2489	1718	1530	1600	1426	2495	1303	1539	1450	1802	1427	1565	1439	1742	1349	1574	1558	1414	1412	1292	1317	1554	1415	1361	1486	1450	1463	1318	1743	1473	1521	1451	1351	1539	2021	1600	1262	1643	1561	1414	1488	1293	1298	1517	1585	1343	1440	1596	1332	1587	1513	1645	2091	1510	1509	1529	1334	1443	1302	1362	1467	1159	1167
PD5179ab	1393	0	1619	1480	1609	1494	1606	1593	1532	1521	1531	1511	1502	1608	1385	1749	1597	1586	2073	1622	1540	1639	2636	1547	1695	1496	1449	1551	1929	2616	1839	1663	1741	1569	2630	1430	1652	1571	1929	1470	1696	1570	1881	1492	1719	1691	1559	1467	1441	1418	1689	1526	1472	1635	1587	1604	1471	1884	1620	1646	1582	1488	1684	2170	1731	1425	1780	1678	1533	1603	1412	1413	1644	1708	1464	1569	1721	1451	1698	1582	1792	2222	1649	1638	1656	1465	1578	1389	1519	1622	1296	1358
PD5179ac	1502	1619	0	1475	1614	1283	1629	1708	1691	1612	1672	1492	1629	1611	1492	1748	1584	1581	2064	1617	1587	1636	2623	1688	1696	1595	1500	1512	1904	2593	1850	1662	1784	1564	2611	1565	1643	1630	1934	1673	1749	1559	1888	1553	1680	1670	1562	1642	1486	1555	1676	1655	1489	1620	1616	1595	1580	1853	1605	1651	1585	1485	1679	2171	1718	1520	1765	1673	1534	1592	1543	1532	1645	1755	1593	1628	1712	1578	1697	1749	1781	2207	1642	1629	1647	1456	1583	1570	1406	1601	1379	1453
PD5179ad	1341	1480	1475	0	1381	1342	1388	1559	1548	1471	1521	1349	1474	1372	1341	1471	1423	1338	1837	1452	1436	1417	2386	1541	1447	1436	1341	1381	1691	2378	1615	1481	1645	1395	2390	1404	1388	1499	1709	1526	1602	1300	1641	1400	1481	1437	1315	1507	1347	1406	1419	1488	1252	1387	1477	1356	1443	1622	1334	1414	1348	1336	1434	1936	1481	1361	1540	1440	1389	1443	1390	1383	1466	1624	1430	1477	1481	1435	1538	1616	1544	1996	1415	1392	1422	1291	1332	1419	1367	1368	1232	1310
PD5179ae	1472	1609	1614	1381	0	1459	1485	1694	1689	1608	1644	1464	1617	1409	1468	1620	1562	1305	1978	1587	1557	1498	2529	1672	1566	1573	1480	1512	1818	2493	1740	1606	1784	1540	2539	1527	1551	1622	1824	1647	1761	1341	1766	1541	1530	1422	1326	1644	1474	1535	1588	1631	1337	1432	1596	1397	1558	1647	1505	1511	1377	1457	1491	2075	1546	1514	1559	1481	1516	1574	1517	1512	1599	1735	1551	1560	1562	1560	1687	1751	1537	2115	1496	1485	1443	1432	1385	1532	1506	1467	1365	1443
PD5179af	1339	1494	1283	1342	1459	0	1486	1557	1570	1481	1511	1369	1486	1454	1347	1605	1443	1450	1939	1492	1444	1505	2484	1559	1559	1442	1361	1373	1781	2478	1713	1509	1651	1423	2492	1424	1518	1509	1779	1530	1628	1406	1733	1414	1565	1547	1409	1513	1357	1426	1545	1516	1336	1485	1477	1456	1439	1710	1464	1508	1434	1344	1540	2038	1593	1389	1640	1538	1399	1459	1394	1385	1498	1620	1434	1481	1587	1441	1560	1628	1660	2084	1497	1506	1518	1313	1438	1415	1277	1478	1234	1326
PD5179ag	1491	1606	1629	1388	1485	1486	0	1713	1690	1621	1647	1483	1640	1468	1479	1649	1569	1466	1979	1590	1588	1405	2530	1681	1463	1588	1491	1519	1827	2552	1669	1627	1791	1539	2546	1540	1566	1645	1837	1672	1766	1430	1791	1550	1575	1551	1421	1665	1489	1552	1593	1642	1290	1489	1619	1460	1565	1694	1500	1408	1462	1474	1546	2098	1615	1519	1622	1560	1539	1589	1548	1533	1622	1754	1588	1613	1457	1573	1680	1740	1660	2116	1445	1382	1538	1447	1456	1547	1507	1414	1378	1466
PD5179ah	1452	1593	1708	1559	1694	1557	1713	0	1671	1580	1626	1588	1569	1689	1456	1846	1662	1669	1910	1699	1619	1738	2715	1660	1784	1575	1524	1602	1770	2673	1936	1726	1792	1646	2725	1509	1743	1662	1998	1627	1791	1637	1934	1565	1780	1774	1622	1618	1528	1521	1762	1595	1557	1702	1646	1675	1546	1915	1689	1687	1665	1571	1747	2009	1804	1464	1843	1755	1616	1692	1523	1480	1711	1737	1551	1636	1804	1548	1763	1737	1863	2073	1732	1717	1741	1542	1663	1506	1598	1691	1367	1435
PD5179ai	1453	1532	1691	1548	1689	1570	1690	1671	0	1595	1611	1575	1586	1692	1459	1833	1647	1666	2119	1686	1604	1729	2702	1639	1773	1564	1525	1601	1995	2672	1917	1737	1819	1649	2700	1500	1704	1653	2003	1556	1794	1638	1955	1582	1793	1749	1631	1533	1515	1498	1767	1590	1556	1695	1663	1670	1543	1934	1670	1718	1666	1582	1746	2240	1799	1477	1844	1776	1623	1683	1490	1481	1718	1768	1536	1637	1781	1529	1768	1664	1848	2266	1713	1710	1732	1547	1668	1455	1597	1668	1358	1444
PD5179aj	1352	1521	1612	1471	1608	1481	1621	1580	1595	0	1536	1494	1517	1609	1362	1746	1570	1569	2066	1571	1525	1628	2611	1556	1704	1453	1436	1510	1906	2585	1856	1632	1720	1572	2619	1433	1653	1580	1894	1541	1667	1549	1832	1489	1714	1672	1544	1538	1418	1437	1668	1523	1463	1606	1588	1585	1422	1869	1593	1627	1587	1477	1665	2137	1726	1390	1773	1689	1538	1582	1421	1424	1615	1691	1453	1560	1702	1474	1691	1641	1787	2197	1640	1611	1637	1454	1569	1440	1490	1589	1279	1327
PD5179ak	1420	1531	1672	1521	1644	1511	1647	1626	1611	1536	0	1536	1539	1647	1394	1790	1626	1621	2114	1647	1565	1686	2651	1568	1728	1527	1466	1572	1964	2647	1892	1674	1778	1592	2651	1455	1705	1610	1952	1567	1733	1581	1900	1531	1750	1706	1588	1562	1474	1429	1726	1507	1511	1652	1612	1641	1498	1897	1635	1685	1623	1525	1731	2191	1758	1456	1801	1719	1562	1622	1443	1434	1669	1741	1403	1608	1750	1478	1739	1673	1813	2259	1674	1663	1691	1518	1619	1452	1548	1627	1323	1383
PD5179al	1380	1511	1492	1349	1464	1369	1483	1588	1575	1494	1536	0	1487	1465	1356	1624	1360	1449	1932	1449	1463	1502	2489	1560	1578	1463	1358	1342	1762	2483	1732	1510	1682	1426	2503	1421	1515	1510	1790	1531	1631	1431	1740	1429	1582	1544	1412	1520	1368	1423	1560	1537	1349	1476	1494	1461	1450	1729	1461	1501	1447	1325	1549	2037	1578	1396	1641	1541	1322	1358	1405	1406	1517	1631	1461	1502	1582	1452	1573	1639	1639	2073	1512	1511	1521	1336	1451	1442	1380	1475	1253	1345
PD5179am	1389	1502	1629	1474	1617	1486	1640	1569	1586	1517	1539	1487	0	1606	1399	1763	1577	1594	2055	1618	1546	1645	2616	1567	1697	1494	1449	1525	1909	2608	1861	1655	1725	1561	2632	1364	1664	1567	1949	1558	1694	1568	1875	1500	1721	1687	1549	1525	1429	1442	1699	1524	1494	1643	1585	1588	1483	1852	1598	1652	1588	1498	1694	2158	1737	1407	1776	1686	1543	1589	1428	1343	1624	1714	1468	1563	1723	1473	1690	1626	1790	2206	1639	1634	1648	1467	1586	1451	1511	1616	1290	1354
PD5179an	1481	1608	1611	1372	1409	1454	1468	1689	1692	1609	1647	1465	1606	0	1487	1615	1559	1392	1975	1580	1578	1487	2536	1651	1559	1586	1493	1499	1817	2518	1725	1627	1785	1527	2522	1530	1552	1621	1825	1648	1748	1366	1775	1526	1447	1499	1359	1655	1477	1542	1577	1644	1340	1347	1597	1292	1553	1670	1494	1510	1274	1448	1408	2072	1537	1509	1486	1458	1497	1567	1512	1509	1600	1734	1580	1573	1571	1555	1690	1734	1590	2134	1495	1486	1474	1427	1274	1535	1479	1456	1346	1452
