	PD5847h_lo0002	PD5847h_lo0006	PD5847h_lo0007	PD5847h_lo0008	PD5847h_lo0010	PD5847h_lo0017	PD5847h_lo0018	PD5847h_lo0019	PD5847h_lo0024	PD5847h_lo0025	PD5847h_lo0026	PD5847h_lo0027	PD5847h_lo0029	PD5847h_lo0032	PD5847h_lo0033	PD5847h_lo0097	PD5847h_lo0098	PD5847h_lo0099	PD5847h_lo0100	PD5847h_lo0101	PD5847h_lo0102	PD5847h_lo0103	PD5847h_lo0104	PD5847h_lo0105	PD5847h_lo0106	PD5847h_lo0107	PD5847h_lo0108	PD5847h_lo0109	PD5847h_lo0110	PD5847h_lo0111	PD5847h_lo0112	PD5847h_lo0113	PD5847h_lo0115	PD5847h_lo0116	PD5847h_lo0117	PD5847h_lo0118	PD5847h_lo0120	PD5847h_lo0121	PD5847h_lo0122	PD5847h_lo0123	PD5847h_lo0124	PD5847h_lo0125	PD5847h_lo0126	PD5847h_lo0127	PD5847h_lo0128	PD5847h_lo0129	PD5847h_lo0130	PD5847h_lo0131	PD5847h_lo0132	PD5847h_lo0133	PD5847h_lo0135	PD5847h_lo0136	PD5847h_lo0137	PD5847h_lo0138	PD5847h_lo0139	PD5847h_lo0140	PD5847h_lo0142	PD5847h_lo0143	PD5847h_lo0144	PD5847h_lo0145	PD5847h_lo0146	PD5847h_lo0148	PD5847h_lo0151	PD5847h_lo0152	PD5847h_lo0154	PD5847h_lo0155	PD5847h_lo0156	PD5847h_lo0157	PD5847h_lo0158	PD5847h_lo0160	PD5847h_lo0161	PD5847h_lo0163	PD5847h_lo0164	PD5847h_lo0169	PD5847h_lo0170	PD5847h_lo0171	PD5847h_lo0172	PD5847h_lo0173	PD5847h_lo0174	PD5847h_lo0175	PD5847h_lo0176	PD5847h_lo0177	PD5847h_lo0178	PD5847h_lo0179	PD5847h_lo0180	PD5847h_lo0181	PD5847h_lo0182	PD5847h_lo0183	PD5847h_lo0184	PD5847h_lo0185	PD5847h_lo0186	PD5847h_lo0187	PD5847h_lo0188	PD5847h_lo0189	PD5847h_lo0190	PD5847h_lo0191
PD5847h_lo0002	0	1034	1058	1162	1138	2604	2193	1334	1109	1392	1117	1007	1059	1129	2435	2547	2348	1390	1311	1614	2540	1225	2475	1436	2496	1370	1390	1272	1193	1466	1312	1298	2849	1399	2428	1318	1274	946	2626	1186	1397	1329	1316	1404	1450	1072	1427	955	1295	1320	1336	2527	1640	1371	1083	1296	2323	1338	1327	1573	1403	1276	1256	1590	1208	931	1052	1390	939	2115	2443	998	2590	1014	1320	1167	1010	1595	2698	2744	1404	1191	1327	1336	1275	998	1540	1306	2637	1340	1302	1403	1033	1392	1365	1511
PD5847h_lo0006	1034	0	984	1154	1118	2616	2213	1332	1107	1358	1117	1027	1049	1121	2437	2573	2362	1366	1319	1590	2538	1229	2485	1434	2496	1364	1400	1250	1195	1446	1302	1282	2845	1367	2428	1302	1266	932	2610	1174	1393	1321	1290	1424	1426	1046	1405	947	1287	1298	1340	2543	1630	1345	1083	1264	2335	1346	1305	1553	1387	1256	1234	1580	1212	923	1026	1388	929	2137	2433	960	2582	1008	1300	1159	990	1595	2692	2728	1382	1153	1321	1322	1275	978	1538	1294	2655	1328	1288	1369	1003	1356	1361	1497
PD5847h_lo0007	1058	984	0	1186	1154	2662	2253	1336	1131	1412	1141	1049	1089	1163	2485	2601	2380	1420	1365	1652	2594	1261	2521	1462	2528	1398	1318	1290	1209	1486	1340	1316	2879	1399	2482	1348	1300	964	2648	1218	1447	1359	1326	1444	1460	1090	1433	957	1323	1362	1376	2583	1650	1415	1097	1310	2359	1402	1355	1617	1429	1308	1278	1622	1210	949	1078	1406	981	2175	2483	1022	2634	1020	1324	1169	1016	1647	2768	2786	1438	1221	1357	1352	1301	1028	1592	1334	2671	1366	1320	1433	1057	1404	1377	1515
PD5847h_lo0008	1162	1154	1186	0	1272	2748	2347	1470	1251	1514	925	1159	1195	1255	2575	2665	2460	1508	1467	1722	2666	1363	2613	1558	2604	1518	1518	1404	1331	1584	1430	1426	2973	1527	2566	1448	1408	1072	2736	1312	1545	1469	1436	1558	1572	1196	1545	1095	1419	1462	1504	2645	1766	1503	1221	1422	2429	1490	1453	1711	1531	1410	1398	1730	1342	1065	1190	1518	1085	2261	2565	1126	2708	1140	1434	1299	1138	1749	2838	2864	1554	1323	1451	1464	1389	1142	1672	1434	2759	1468	1424	1517	1169	1510	1497	1609
PD5847h_lo0010	1138	1118	1154	1272	0	2674	2293	1434	1155	1452	1209	1143	1115	1207	2517	2617	2430	1436	1401	1700	2638	1325	2545	1532	2552	1444	1490	1344	1301	1538	1394	1394	2921	1447	2502	1348	1382	1032	2698	1262	1495	1371	1358	1518	1514	1118	1493	1053	1251	1368	1378	2625	1722	1421	1157	1350	2409	1446	1399	1651	1483	1380	1300	1662	1320	977	1132	1470	1027	2199	2521	1092	2650	1104	1420	1271	1106	1685	2774	2800	1514	1279	1407	1406	1359	1084	1628	1350	2709	1422	1366	1475	1125	1450	1463	1531
PD5847h_lo0017	2604	2616	2662	2748	2674	0	2361	2896	2701	2890	2707	2621	2617	2647	2605	2703	2506	2932	2841	2820	2712	2809	2645	2920	2694	2886	2968	2832	2787	2948	2828	2832	2999	2949	2668	2868	2858	2538	2776	2772	2923	2903	2850	3014	2920	2650	3009	2577	2885	2906	2916	2703	2850	2929	2677	2878	2601	2596	2861	3047	2885	2848	2840	3068	2784	2525	2572	2590	2527	2371	2579	2582	2762	2616	2900	2773	2620	2799	2854	2982	2914	2767	2877	2824	2777	2588	2846	2876	2803	2862	2806	2885	2631	2958	2879	3065
PD5847h_lo0018	2193	2213	2253	2347	2293	2361	0	2499	2270	2471	2276	2206	2188	2216	2178	2288	2065	2533	2414	2405	2267	2400	2214	2543	2235	2465	2557	2427	2384	2549	2403	2403	2528	2536	2207	2483	2469	2121	2339	2361	2498	2480	2471	2615	2515	2231	2596	2128	2456	2483	2511	2266	2433	2530	2266	2475	2100	2191	2442	2650	2492	2427	2417	2691	2381	2100	2143	2171	2108	1930	2170	2167	2345	2191	2475	2344	2201	2368	2469	2547	2513	2344	2492	2435	2370	2161	2403	2475	2384	2467	2399	2498	2204	2529	2446	2654
PD5847h_lo0019	1334	1332	1336	1470	1434	2896	2499	0	1413	1674	1421	1325	1359	1425	2747	2825	2658	1672	1619	1920	2840	1527	2763	1734	2782	1682	1652	1564	1489	1736	1608	1602	3095	1671	2728	1610	1458	1228	2900	1488	1695	1635	1602	1720	1726	1354	1701	1243	1583	1610	1640	2825	1952	1629	1295	1578	2621	1680	1613	1837	1685	1574	1556	1882	1504	1237	1356	1690	1247	2423	2715	1300	2872	1232	1618	1447	1286	1897	2998	3014	1706	1487	1621	1632	1569	1292	1844	1584	2933	1640	1582	1703	1331	1682	1647	1779
PD5847h_lo0024	1109	1107	1131	1251	1155	2701	2270	1413	0	1421	1210	1118	1088	1180	2510	2636	2401	1413	1384	1673	2607	1308	2532	1503	2561	1427	1479	1307	1272	1523	1375	1375	2916	1434	2497	1329	1361	1007	2667	1247	1480	1346	1331	1497	1479	1097	1490	1036	1314	1359	1377	2596	1707	1404	1096	1327	2402	1417	1380	1618	1464	1363	1281	1631	1299	936	1115	1445	1000	2186	2516	1067	2647	1089	1385	1246	1087	1654	2797	2791	1457	1248	1400	1393	1338	1059	1605	1321	2708	1393	1349	1448	1096	1415	1426	1522
PD5847h_lo0025	1392	1358	1412	1514	1452	2890	2471	1674	1421	0	1465	1389	1383	1329	2687	2823	2608	1692	1593	1878	2812	1561	2751	1648	2766	1636	1730	1594	1531	1710	1572	1552	3117	1715	2708	1630	1614	1270	2880	1516	1655	1639	1616	1762	1696	1374	1733	1295	1607	1632	1658	2793	1898	1689	1427	1626	2615	1636	1591	1847	1655	1592	1600	1844	1550	1249	1324	1652	1253	2399	2733	1332	2840	1358	1652	1513	1356	1891	2982	3000	1688	1493	1643	1582	1539	1326	1800	1632	2917	1540	1550	1641	1375	1680	1633	1809
PD5847h_lo0026	1117	1117	1141	925	1209	2707	2276	1421	1210	1465	0	1106	1142	1214	2524	2644	2413	1471	1416	1699	2633	1328	2550	1527	2567	1469	1459	1345	1276	1549	1401	1381	2900	1480	2509	1385	1355	1033	2697	1271	1506	1418	1381	1511	1523	1151	1508	1044	1390	1413	1427	2608	1705	1444	1184	1385	2412	1431	1400	1646	1496	1369	1337	1697	1305	1026	1137	1477	1036	2212	2534	1081	2661	1083	1397	1256	1099	1678	2781	2817	1489	1286	1424	1409	1372	1089	1635	1385	2726	1435	1389	1496	1120	1477	1460	1560
PD5847h_lo0027	1007	1027	1049	1159	1143	2621	2206	1325	1118	1389	1106	0	1062	1132	2446	2570	2351	1383	1332	1613	2551	1240	2492	1449	2503	1369	1393	1271	1196	1449	1313	1305	2854	1396	2453	1321	1267	925	2611	1193	1410	1320	1311	1379	1427	1077	1414	962	1302	1329	1347	2552	1619	1382	1082	1311	2342	1359	1314	1582	1400	1263	1245	1607	1215	932	1057	1375	942	2132	2446	997	2593	993	1313	1160	1013	1604	2721	2741	1411	1204	1326	1327	1268	1003	1555	1323	2656	1351	1295	1410	1044	1391	1364	1506
PD5847h_lo0029	1059	1049	1089	1195	1115	2617	2188	1359	1088	1383	1142	1062	0	1128	2444	2552	2339	1323	1338	1627	2549	1250	2480	1459	2467	1387	1423	1269	1232	1461	1325	1295	2852	1370	2425	1299	1307	955	2619	1207	1410	1300	1297	1457	1449	1033	1430	980	1276	1283	1279	2542	1639	1342	1090	1275	2324	1357	1312	1578	1420	1287	1213	1587	1241	914	1053	1369	944	2126	2440	1021	2567	1039	1319	1190	1029	1608	2715	2743	1415	1190	1342	1331	1280	1001	1563	1285	2640	1357	1297	1392	1034	1327	1366	1474
PD5847h_lo0032	1129	1121	1163	1255	1207	2647	2216	1425	1180	1329	1214	1132	1128	0	2448	2562	2361	1447	1344	1617	2563	1328	2478	1323	2475	1375	1491	1335	1286	1483	1343	1317	2898	1468	2445	1385	1367	1019	2637	1271	1416	1400	1383	1527	1453	1133	1506	1054	1378	1403	1409	2544	1647	1442	1184	1387	2354	1379	1350	1576	1418	1365	1325	1601	1305	1006	1065	1397	1014	2140	2464	1077	2605	1101	1403	1266	1095	1604	2729	2765	1413	1266	1394	1323	1264	1071	1567	1381	2674	1053	1299	1388	1110	1457	1392	1586
PD5847h_lo0033	2435	2437	2485	2575	2517	2605	2178	2747	2510	2687	2524	2446	2444	2448	0	2520	2327	2779	2654	2647	2541	2628	2490	2767	2529	2703	2795	2671	2610	2767	2653	2633	2832	2788	2495	2725	2707	2365	2613	2597	2730	2734	2709	2853	2765	2465	2798	2378	2668	2731	2713	2506	2653	2762	2520	2675	2390	2427	2672	2842	2738	2679	2657	2899	2621	2342	2375	2423	2342	2168	2448	2407	2573	2433	2735	2584	2435	2614	2705	2815	2725	2592	2688	2667	2604	2415	2637	2703	2638	2699	2645	2742	2462	2767	2686	2876
PD5847h_lo0097	2547	2573	2601	2665	2617	2703	2288	2825	2636	2823	2644	2570	2552	2562	2520	0	2409	2901	2766	2751	2643	2750	2574	2879	2615	2803	2929	2765	2740	2879	2779	2771	2902	2890	2601	2813	2817	2461	2717	2693	2852	2824	2805	2939	2871	2579	2916	2498	2796	2807	2835	2572	2771	2856	2622	2805	2492	2545	2772	2962	2826	2803	2755	3035	2745	2464	2509	2543	2472	2302	2532	2529	2709	2565	2827	2706	2551	2746	2797	2889	2849	2698	2846	2787	2720	2515	2707	2829	2744	2813	2755	2828	2562	2885	2808	2986
PD5847h_lo0098	2348	2362	2380	2460	2430	2506	2065	2658	2401	2608	2413	2351	2339	2361	2327	2409	0	2668	2533	2536	2448	2545	2365	2680	2406	2618	2692	2578	2527	2698	2548	2552	2695	2669	2400	2606	2580	2258	2504	2502	2633	2629	2602	2742	2650	2372	2717	2275	2591	2612	2640	2383	2578	2661	2407	2600	2293	2330	2583	2795	2639	2586	2566	2842	2516	2235	2290	2300	2249	2059	2297	2310	2466	2336	2632	2487	2338	2541	2592	2688	2636	2487	2631	2572	2519	2330	2528	2594	2513	2608	2540	2639	2353	2652	2601	2797
PD5847h_lo0099	1390	1366	1420	1508	1436	2932	2533	1672	1413	1692	1471	1383	1323	1447	2779	2901	2668	0	1651	1938	2888	1559	2825	1764	2816	1700	1740	1592	1537	1756	1632	1628	3161	1691	2748	1596	1622	1278	2952	1520	1705	1591	1600	1756	1744	1352	1735	1295	1573	1618	1616	2859	1964	1673	1395	1606	2659	1698	1639	1889	1715	1620	1538	1908	1540	1229	1380	1698	1265	2453	2773	1342	2922	1370	1668	1501	1358	1931	3044	3064	1734	1513	1649	1650	1603	1328	1866	1596	2973	1660	1620	1681	1377	1644	1685	1775
PD5847h_lo0100	1311	1319	1365	1467	1401	2841	2414	1619	1384	1593	1416	1332	1338	1344	2654	2766	2533	1651	0	1815	2739	1504	2688	1647	2675	1545	1677	1531	1494	1641	1503	1495	3048	1648	2633	1551	1567	1205	2819	1471	1606	1594	1555	1725	1585	1325	1682	1250	1550	1581	1621	2748	1837	1636	1374	1541	2528	1583	1538	1756	1562	1553	1513	1789	1499	1214	1259	1601	1204	2334	2644	1271	2775	1289	1595	1456	1297	1802	2903	2955	1605	1462	1590	1547	1454	1259	1747	1571	2868	1537	1497	1610	1308	1651	1554	1764
PD5847h_lo0101	1614	1590	1652	1722	1700	2820	2405	1920	1673	1878	1699	1613	1627	1617	2647	2751	2536	1938	1815	0	2734	1801	2667	1946	2684	1860	1968	1804	1777	1960	1812	1788	3027	1939	2656	1860	1850	1520	2806	1768	1883	1887	1872	1994	1920	1630	1989	1539	1859	1870	1896	2721	1822	1919	1661	1856	2561	1590	1833	2047	1881	1840	1850	2086	1798	1497	1544	1580	1509	2337	2619	1568	2784	1586	1870	1743	1588	1791	2924	2958	1882	1753	1895	1842	1767	1558	1786	1840	2839	1852	1802	1905	1607	1948	1887	2071
PD5847h_lo0102	2540	2538	2594	2666	2638	2712	2267	2840	2607	2812	2633	2551	2549	2563	2541	2643	2448	2888	2739	2734	0	2741	2561	2882	2618	2778	2912	2736	2697	2884	2730	2760	2927	2857	2584	2808	2780	2458	2708	2694	2835	2807	2788	2928	2844	2576	2937	2483	2799	2816	2818	2605	2758	2837	2611	2800	2493	2516	2779	2993	2823	2798	2740	3014	2714	2453	2488	2516	2461	2287	2547	2524	2686	2540	2830	2671	2552	2729	2802	2926	2820	2693	2821	2756	2701	2502	2714	2798	2699	2782	2720	2817	2533	2888	2807	2971
PD5847h_lo0103	1225	1229	1261	1363	1325	2809	2400	1527	1308	1561	1328	1240	1250	1328	2628	2750	2545	1559	1504	1801	2741	0	2654	1629	2679	1561	1575	1447	1382	1613	1489	1485	3008	1574	2595	1497	1477	1099	2813	1339	1598	1504	1483	1611	1615	1245	1578	1142	1482	1511	1531	2732	1829	1556	1246	1447	2518	1569	1480	1744	1582	1473	1433	1773	1405	1132	1237	1569	1124	2312	2648	1177	2783	1217	1459	1364	1199	1778	2905	2925	1583	1374	1516	1519	1476	1185	1737	1471	2842	1523	1473	1576	1208	1551	1560	1696
PD5847h_lo0104	2475	2485	2521	2613	2545	2645	2214	2763	2532	2751	2550	2492	2480	2478	2490	2574	2365	2825	2688	2667	2561	2654	0	2795	2531	2715	2831	2683	2634	2815	2683	2671	2842	2808	2521	2755	2719	2389	2603	2629	2776	2736	2739	2859	2781	2497	2840	2408	2716	2731	2783	2556	2687	2790	2552	2729	2416	2463	2698	2898	2748	2699	2679	2959	2659	2386	2415	2435	2390	2154	2466	2433	2617	2471	2733	2616	2475	2664	2693	2805	2749	2618	2748	2713	2638	2427	2657	2729	2670	2707	2671	2746	2478	2793	2726	2926
PD5847h_lo0105	1436	1434	1462	1558	1532	2920	2543	1734	1503	1648	1527	1449	1459	1323	2767	2879	2680	1764	1647	1946	2882	1629	2795	0	2816	1708	1794	1632	1591	1764	1636	1632	3155	1771	2752	1690	1674	1344	2948	1562	1729	1703	1710	1814	1744	1448	1787	1353	1695	1712	1742	2845	1964	1721	1491	1676	2649	1704	1655	1905	1699	1658	1642	1898	1600	1333	1388	1700	1321	2461	2757	1392	2910	1406	1714	1565	1428	1937	3052	3100	1738	1571	1705	1646	1597	1366	1878	1692	2985	1536	1612	1717	1429	1724	1673	1867
PD5847h_lo0106	2496	2496	2528	2604	2552	2694	2235	2782	2561	2766	2567	2503	2467	2475	2529	2615	2406	2816	2675	2684	2618	2679	2531	2816	0	2752	2838	2712	2645	2808	2694	2668	2891	2815	2568	2730	2750	2404	2646	2634	2775	2741	2730	2884	2792	2520	2835	2421	2729	2762	2800	2585	2708	2805	2551	2746	2487	2468	2709	2911	2745	2712	2682	2954	2660	2391	2440	2448	2399	2265	2523	2444	2634	2472	2764	2631	2478	2669	2778	2832	2792	2631	2763	2718	2631	2444	2676	2750	2713	2726	2690	2761	2487	2832	2731	2917
