	PD6629aa	PD6629ab	PD6629ac	PD6629ad	PD6629af	PD6629ag	PD6629ah	PD6629ai	PD6629aj	PD6629ak	PD6629al	PD6629an	PD6629ao	PD6629ap	PD6629aq	PD6629as	PD6629db_lo0001	PD6629db_lo0002	PD6629db_lo0003	PD6629db_lo0005	PD6629db_lo0006	PD6629db_lo0007	PD6629db_lo0008	PD6629db_lo0009	PD6629db_lo0011	PD6629db_lo0012	PD6629db_lo0013	PD6629db_lo0014	PD6629db_lo0015	PD6629db_lo0016	PD6629db_lo0017	PD6629db_lo0018	PD6629db_lo0019	PD6629db_lo0020	PD6629db_lo0022	PD6629db_lo0023	PD6629db_lo0024	PD6629db_lo0025	PD6629db_lo0026	PD6629db_lo0027	PD6629db_lo0028	PD6629db_lo0029	PD6629db_lo0030	PD6629db_lo0031	PD6629db_lo0032	PD6629db_lo0033	PD6629db_lo0035	PD6629db_lo0036	PD6629j	PD6629k	PD6629n	PD6629o	PD6629p	PD6629r	PD6629u	PD6629v	PD6629w	PD6629x	PD6629y
PD6629aa	0	2247	1750	1586	1647	1698	1867	1674	1779	1815	1712	2594	1604	1715	1648	1709	2738	2267	2608	2635	2662	1970	2646	2663	2322	2540	1786	2089	2167	3042	1808	2633	2507	2612	2578	1776	2489	1840	2900	2539	3008	1815	3032	1925	2652	2624	2649	2275	2719	2230	1698	1784	2407	2398	1652	1710	1737	1740	1695
PD6629ab	2247	0	2321	2151	2206	2293	2454	2239	2322	2372	2281	2473	2223	2284	2205	2288	2681	2804	2515	2160	2597	2553	2587	2626	2893	3091	2353	2680	2702	2947	2355	2550	3072	2537	2495	2329	2056	2413	2795	2444	3049	2392	2961	2462	2543	3129	2524	2826	2654	2157	2269	2337	2330	2327	2225	2277	2330	2307	2268
PD6629ac	1750	2321	0	1454	1707	1582	1763	1732	1721	1681	1776	2656	1700	1655	1530	1419	2800	2281	2674	2697	2716	1836	2710	2757	2190	2576	1848	1975	2193	3122	1846	2689	2131	2686	2654	1824	2551	1854	2954	2621	3076	1695	3134	1979	2724	2598	2723	2309	2789	2288	1580	1836	2481	2474	1700	1582	1609	1772	1681
PD6629ad	1586	2151	1454	0	1537	1002	1169	1568	1581	1541	1622	2496	1580	1513	950	1429	2684	2141	2522	2541	2594	1712	2576	2623	1972	2446	1704	1391	2049	2992	1712	2559	2261	2544	2522	1662	2407	1666	2824	2467	2938	1565	2984	1813	2570	2458	2613	2179	2665	2178	1000	1676	2339	2338	1562	1002	1053	1594	1555
PD6629af	1647	2206	1707	1537	0	1659	1824	1419	1716	1776	1649	2561	1637	1670	1603	1666	2711	2230	2567	2590	2629	1947	2629	2672	2291	2389	1707	2038	2078	2997	1763	2612	2478	2587	2567	1711	2472	1783	2851	2502	2991	1796	3011	1844	2617	2579	2634	2210	2694	2203	1653	1733	2366	2367	1543	1677	1694	1701	1656
PD6629ag	1698	2293	1582	1002	1659	0	1319	1690	1693	1647	1718	2616	1682	1627	1058	1547	2774	2245	2638	2661	2710	1820	2690	2711	2078	2540	1818	1523	2159	3084	1824	2653	2373	2652	2612	1784	2525	1802	2938	2579	3006	1677	3076	1935	2670	2582	2705	2271	2769	2268	1050	1796	2441	2442	1652	1088	1161	1682	1655
PD6629ah	1867	2454	1763	1169	1824	1319	0	1871	1852	1832	1905	2795	1841	1788	1259	1712	2965	2404	2809	2846	2887	2005	2861	2878	2255	2731	1997	1672	2302	3251	1993	2836	2534	2827	2765	1969	2672	1973	3105	2742	3185	1848	3249	2090	2851	2735	2890	2446	2942	2445	1325	1965	2600	2629	1843	1325	1358	1857	1814
PD6629ai	1674	2239	1732	1568	1419	1690	1871	0	1737	1803	1680	2578	1634	1683	1620	1687	2726	2249	2592	2619	2660	1948	2650	2667	2288	2400	1716	2071	2099	3032	1774	2619	2471	2602	2580	1740	2495	1824	2892	2537	2982	1819	3046	1885	2620	2592	2679	2249	2707	2226	1690	1754	2409	2390	1556	1694	1723	1710	1687
PD6629aj	1779	2322	1721	1581	1716	1693	1852	1737	0	1788	1801	2693	1763	1218	1635	1692	2823	2326	2677	2722	2761	1953	2783	2768	2287	2577	1875	2066	2216	3123	1901	2742	2494	2709	2671	1859	2586	1867	2989	2652	3101	1816	3171	1988	2731	2625	2768	2354	2828	2323	1679	1859	2506	2515	1725	1717	1724	1803	1720
PD6629ak	1815	2372	1681	1541	1776	1647	1832	1803	1788	0	1849	2729	1801	1736	1601	1658	2879	2360	2739	2738	2793	1885	2789	2826	2263	2653	1945	2042	2248	3165	1909	2770	2430	2747	2697	1873	2620	1909	3025	2686	3129	1748	3185	2030	2787	2673	2794	2352	2868	2375	1667	1887	2540	2553	1763	1673	1686	1833	1744
