	PD6634d_lo0001	PD6634d_lo0002	PD6634d_lo0003	PD6634d_lo0004	PD6634d_lo0005	PD6634d_lo0006	PD6634d_lo0007	PD6634d_lo0008	PD6634d_lo0011	PD6634d_lo0013	PD6634d_lo0014	PD6634d_lo0015	PD6634d_lo0016	PD6634d_lo0017	PD6634d_lo0018	PD6634d_lo0019	PD6634d_lo0020	PD6634d_lo0022	PD6634d_lo0023	PD6634d_lo0024	PD6634d_lo0025	PD6634d_lo0026	PD6634d_lo0027	PD6634d_lo0028	PD6634d_lo0029	PD6634d_lo0031	PD6634d_lo0033	PD6634d_lo0034	PD6634d_lo0035	PD6634d_lo0036	PD6634d_lo0037	PD6634d_lo0038	PD6634d_lo0039	PD6634d_lo0040	PD6634d_lo0042	PD6634d_lo0043
PD6634d_lo0001	0	1891	2315	1886	1266	1264	1464	2108	1850	1877	1185	2084	1824	1887	1359	1944	1735	1886	1910	1907	1071	2416	1857	2462	1831	2472	1486	1334	1358	1784	1383	2030	2304	2182	2325	2342
PD6634d_lo0002	1891	0	2212	1803	1677	1661	1887	2015	1303	1794	1644	1999	1261	1224	1782	417	1282	1791	1197	1358	1714	2309	1768	2357	1296	2371	1505	1531	1765	1689	2064	1497	2217	2079	2248	2253
PD6634d_lo0003	2315	2212	0	1987	2111	2073	2327	1069	2197	2104	2072	1837	2141	2216	2230	2279	2066	1919	2245	2214	2162	1915	2100	1927	2172	2183	1927	1925	2219	1991	2494	2389	2399	2283	2464	2459
PD6634d_lo0004	1886	1803	1987	0	1670	1650	1882	1762	1790	1677	1641	1754	1708	1803	1781	1822	1611	1524	1836	1817	1723	2056	1655	2084	1737	2148	1466	1514	1778	1570	2077	1962	1556	1060	1593	1598
PD6634d_lo0005	1266	1677	2111	1670	0	884	958	1894	1670	1677	1037	1864	1598	1679	967	1748	1537	1698	1702	1699	1129	2202	1665	2246	1639	2256	1290	1154	1014	1576	1447	1856	2114	1972	2143	2160
PD6634d_lo0006	1264	1661	2073	1650	884	0	1088	1880	1670	1665	1035	1844	1580	1661	675	1738	1519	1660	1690	1679	1135	2182	1665	2224	1613	2232	1288	1162	1018	1570	1449	1838	2098	1964	2109	2128
PD6634d_lo0007	1464	1887	2327	1882	958	1088	0	2110	1862	1887	1225	2100	1806	1883	1161	1940	1729	1898	1910	1899	1341	2408	1889	2468	1845	2464	1508	1358	1208	1782	1635	2032	2318	2176	2335	2358
PD6634d_lo0008	2108	2015	1069	1762	1894	1880	2110	0	1982	1869	1879	1584	1918	2009	2015	2080	1847	1702	2032	2009	1945	1688	1885	1724	1963	1958	1696	1724	1988	1780	2297	2182	2182	2066	2243	2246
PD6634d_lo0011	1850	1303	2197	1790	1670	1670	1862	1982	0	1771	1629	1996	1148	1323	1785	1380	1289	1782	1350	1203	1717	2320	1761	2366	1163	2360	1486	1504	1772	1676	2051	1354	2212	2084	2233	2244
PD6634d_lo0013	1877	1794	2104	1677	1677	1665	1887	1869	1771	0	1628	1867	1691	1792	1774	1841	1636	1673	1831	1808	1716	2185	1484	2235	1736	2219	1489	1517	1757	1491	2066	1931	2111	1973	2132	2165
