	PD9478aa	PD9478ab	PD9478ad	PD9478ae	PD9478ah	PD9478aj	PD9478ak	PD9478am	PD9478an	PD9478ap	PD9478aq	PD9478ar	PD9478as	PD9478at	PD9478au	PD9478av	PD9478aw	PD9478ax	PD9478ay	PD9478az	PD9478ba	PD9478bb	PD9478bc	PD9478bd	PD9478be	PD9478bg	PD9478bh	PD9478bi	PD9478bj	PD9478bk	PD9478bm	PD9478bn	PD9478bp	PD9478bq	PD9478br	PD9478bt	PD9478bv	PD9478bw	PD9478bx	PD9478by	PD9478bz	PD9478ca	PD9478cb	PD9478cc	PD9478cd	PD9478ce	PD9478cf	PD9478cg	PD9478ch	PD9478ci	PD9478cj	PD9478ck	PD9478cl	PD9478cm	PD9478cn	PD9478co	PD9478cp	PD9478cq	PD9478cr	PD9478cs	PD9478ct	PD9478cu	PD9478cv	PD9478cw	PD9478cx	PD9478cy	PD9478cz	PD9478da	PD9478db	PD9478dc	PD9478l	PD9478n	PD9478o	PD9478p	PD9478q	PD9478r	PD9478t	PD9478v	PD9478w	PD9478z
PD9478aa	0	1559	1225	1376	1413	1425	1366	1378	3003	1483	1316	1375	2894	1385	1103	1559	1499	1540	1542	1549	1626	1523	1436	1512	1685	1575	1539	1667	1583	1732	1527	3038	1623	1454	1508	1575	3321	1462	1411	1541	1556	1616	1516	1547	1600	1312	1502	3145	1606	2935	1507	1492	1580	1472	1630	1414	2924	1280	1428	1487	1440	1484	3206	2973	1548	1688	1655	1578	1482	1515	1321	1275	1422	1540	1427	1419	1488	1418	1486	1438
PD9478ab	1559	0	1510	1581	1254	1668	1543	1389	3190	1660	1583	1228	3089	1570	1526	1894	1652	1747	1745	1762	1551	1634	1411	1373	1866	1806	1416	1890	1800	1561	1766	3221	1806	1651	1515	1718	3492	1853	1640	1824	1395	1775	1479	1782	1787	1635	1707	3316	1739	3132	1450	1703	1763	1609	1659	1749	3129	1641	1459	1662	1773	1599	3383	3164	1473	1693	1774	1411	1829	1738	1286	1486	1271	1713	1664	1554	1515	1595	1691	1667
PD9478ad	1225	1510	0	1289	1330	1354	1303	1299	2940	1402	1151	1294	2837	1326	1184	1582	1430	1479	1461	1456	1547	1456	1367	1443	1588	1516	1480	1582	1512	1653	1442	2969	1560	1371	1427	1478	3262	1511	1336	1430	1491	1547	1449	1476	1541	1315	1447	3076	1537	2878	1432	1419	1501	1401	1549	1419	2873	1287	1377	1424	1441	1407	3137	2908	1479	1603	1606	1493	1483	1434	1252	1202	1345	1467	1350	1354	1405	1343	1413	1367
PD9478ae	1376	1581	1289	0	1405	1445	1370	1372	3017	1507	1374	1385	2912	1413	1319	1699	1503	1560	1550	1413	1626	1539	1444	1536	1681	1597	1557	1679	1595	1734	1527	3044	1625	1436	1510	1569	3337	1626	1425	1627	1556	1608	1528	1569	1630	1448	1536	3155	1598	2943	1515	1358	1578	1488	1664	1534	2950	1426	1444	1505	1568	1480	3212	2991	1556	1710	1669	1594	1612	1527	1329	1289	1430	1554	1451	1433	1492	1416	1502	1278
PD9478ah	1413	1254	1330	1405	0	1498	1391	1219	3012	1508	1423	1064	2911	1422	1362	1704	1470	1581	1591	1614	1383	1498	1253	1213	1688	1644	1238	1726	1632	1403	1598	3075	1652	1481	1365	1572	3358	1687	1474	1664	1165	1633	1333	1632	1613	1483	1533	3158	1583	2968	1306	1553	1587	1453	1501	1575	2967	1473	1285	1500	1619	1431	3227	3028	1323	1537	1622	1257	1663	1570	1114	1326	1105	1545	1478	1396	1351	1425	1511	1465
PD9478aj	1425	1668	1354	1445	1498	0	1443	1443	3084	1572	1435	1464	3009	1466	1370	1756	1568	1623	1605	1612	1649	1628	1517	1619	1746	1476	1634	1572	1470	1823	1352	3109	1704	1535	1585	1634	3414	1695	1404	1682	1665	1695	1611	1514	1715	1491	1603	3234	1695	2868	1612	1581	1621	1551	1717	1603	3025	1491	1527	1570	1641	1573	3283	3076	1653	1797	1758	1657	1677	1600	1414	1370	1505	1619	1434	1504	1585	1495	1579	1527
PD9478ak	1366	1543	1303	1370	1391	1443	0	1344	3005	1477	1388	1353	2894	1131	1317	1695	1471	1556	1550	1557	1584	1513	1412	1512	1647	1589	1513	1713	1609	1702	1557	3048	1607	1456	1476	1533	3335	1644	1439	1625	1544	1582	1502	1587	1602	1432	1502	3137	1574	2931	1483	1508	1554	1456	1612	1550	2936	1432	1400	1093	1586	1458	3198	2977	1538	1660	1651	1536	1638	1533	1303	1287	1400	1508	1471	1401	1464	1404	1496	1470
PD9478am	1378	1389	1299	1372	1219	1443	1344	0	2965	1459	1376	1181	2878	1355	1319	1671	1433	1542	1548	1567	1438	1447	1252	1348	1639	1597	1353	1691	1621	1538	1549	3020	1613	1440	1230	1519	3307	1618	1425	1627	1386	1586	1354	1577	1584	1432	1484	3123	1544	2915	1343	1516	1562	1418	1458	1540	2910	1424	1092	1453	1584	1402	3164	2977	1368	1484	1581	1402	1630	1535	1123	1281	1248	1504	1457	1363	1296	1390	1478	1448
PD9478an	3003	3190	2940	3017	3012	3084	3005	2965	0	3052	3007	2982	2761	3014	2962	3328	3100	3173	3185	3188	3241	3158	3045	3145	3268	3234	3154	3318	3228	3341	3166	3001	3208	3085	3127	3164	3156	3245	3062	3256	3177	3207	3149	3224	3245	3073	3127	3062	3217	3228	3148	3147	3189	3091	3239	3159	2797	3061	3063	3112	3215	3101	3063	2830	3175	3283	3274	3203	3259	3138	2926	2912	3025	3153	3080	3026	3089	3033	3111	3077
PD9478ap	1483	1660	1402	1507	1508	1572	1477	1459	3052	0	1495	1466	3013	1492	1430	1816	1590	1667	1659	1676	1707	1626	1537	1627	1582	1722	1632	1792	1732	1825	1654	3151	1662	1565	1579	1624	3426	1759	1560	1754	1651	1649	1617	1706	1733	1559	1443	3232	1697	3050	1586	1639	1515	1573	1707	1641	3025	1547	1521	1584	1685	1561	3285	3076	1639	1775	1750	1669	1735	1646	1408	1408	1515	1625	1562	1516	1581	1509	1613	1575
PD9478aq	1316	1583	1151	1374	1423	1435	1388	1376	3007	1495	0	1381	2918	1403	1271	1663	1517	1554	1562	1575	1622	1547	1448	1532	1699	1581	1543	1671	1595	1734	1529	3048	1661	1458	1504	1579	3351	1578	1419	1517	1566	1638	1536	1555	1632	1408	1532	3159	1626	2959	1533	1516	1594	1476	1632	1506	2940	1390	1440	1503	1536	1486	3208	2999	1552	1686	1667	1588	1588	1533	1323	1301	1428	1548	1451	1431	1492	1432	1508	1458
PD9478ar	1375	1228	1294	1385	1064	1464	1353	1181	2982	1466	1381	0	2841	1380	1316	1664	1462	1533	1555	1588	1331	1462	1209	1173	1660	1626	1218	1694	1614	1383	1554	3035	1624	1451	1333	1540	3314	1645	1440	1632	1231	1587	1307	1600	1575	1449	1491	3122	1549	2924	1264	1523	1561	1431	1469	1547	2925	1427	1249	1472	1577	1405	3191	2984	1267	1503	1574	1229	1629	1534	1068	1284	1067	1519	1464	1370	1311	1401	1501	1467
PD9478as	2894	3089	2837	2912	2911	3009	2894	2878	2761	3013	2918	2841	0	2913	2857	2805	3029	3082	3078	3083	3154	3059	2950	3042	3169	3129	3059	3229	3135	3230	3081	2912	3149	2988	3028	3089	3083	3172	2975	3171	3076	3132	3048	3119	3150	2984	3042	2975	3134	3159	3035	3052	3108	2994	3182	3086	2712	2974	2954	3007	3116	3002	2984	2765	3070	3208	3175	3094	3160	3071	2839	2797	2930	3054	2995	2935	3016	2948	3010	2984
