	PD4781c_lo0001	PD4781c_lo0002	PD4781c_lo0004	PD4781c_lo0005	PD4781c_lo0006	PD4781c_lo0007	PD4781c_lo0008	PD4781c_lo0009	PD4781c_lo0010	PD4781c_lo0011	PD4781c_lo0013	PD4781c_lo0014	PD4781c_lo0015	PD4781c_lo0016	PD4781c_lo0017	PD4781c_lo0018	PD4781c_lo0019	PD4781c_lo0020	PD4781c_lo0021	PD4781c_lo0022	PD4781c_lo0023	PD4781c_lo0024	PD4781c_lo0025	PD4781c_lo0026	PD4781c_lo0027	PD4781c_lo0028	PD4781c_lo0029	PD4781c_lo0030	PD4781c_lo0031	PD4781c_lo0033	PD4781c_lo0034	PD4781c_lo0035	PD4781c_lo0036	PD4781c_lo0039	PD4781c_lo0040	PD4781c_lo0041	PD4781c_lo0042	PD4781c_lo0043	PD4781c_lo0044	PD4781d_lo0001	PD4781d_lo0002	PD4781d_lo0003	PD4781d_lo0005	PD4781d_lo0006	PD4781d_lo0007	PD4781d_lo0009	PD4781d_lo0010	PD4781d_lo0011	PD4781d_lo0014	PD4781d_lo0015	PD4781d_lo0017	PD4781d_lo0019	PD4781d_lo0020	PD4781d_lo0021	PD4781d_lo0022	PD4781d_lo0023	PD4781d_lo0026	PD4781d_lo0028	PD4781d_lo0029	PD4781d_lo0031	PD4781d_lo0032
PD4781c_lo0001	0	1431	1901	1358	1201	1361	1410	1385	1344	1309	1298	1431	1349	1216	1392	1264	1292	1290	1332	3255	1330	1351	1500	1301	1378	1333	1387	1398	1324	1233	1431	1277	1387	1657	1560	1694	1458	1647	1630	3995	1683	1494	3360	1438	1618	1477	1306	1394	1441	1373	3469	3659	1484	1376	1390	1607	1413	1475	1273	1501	1376
PD4781c_lo0002	1431	0	1914	1357	1276	1330	1403	1342	1443	1286	1261	1412	1282	1263	1379	1219	1319	1291	1311	3214	1293	1352	1459	1118	1365	1342	1386	1349	1283	1204	1366	1266	1304	1598	1443	1741	1539	1470	1619	3966	1678	1499	3335	1427	1587	1418	1361	1415	1378	1394	3476	3640	1457	1441	1389	1568	1382	1466	1312	1498	1451
PD4781c_lo0004	1901	1914	0	1899	1778	1782	1917	1790	1953	1850	1785	1986	1770	1757	1847	1727	1819	1779	1871	3800	1791	1910	2015	1812	1911	1860	1932	1871	1713	1680	1950	1832	1862	2104	2089	2229	2043	2166	2151	3172	2198	2025	2525	1987	2069	2014	1865	1957	1928	1928	2666	2826	1909	1917	1923	2070	1888	1972	1780	2062	2001
PD4781c_lo0005	1358	1357	1899	0	1217	1311	1336	1373	1372	1267	1198	1355	1285	1174	1374	1212	1266	1218	1250	3195	1302	1257	1452	1249	1326	1329	1279	1352	1304	1189	1393	1189	1359	1601	1546	1678	1480	1593	1530	3931	1587	1394	3306	1338	1608	1419	1302	1324	1411	1255	3419	3569	1464	1366	1262	1563	1371	1399	1291	1401	1478
PD4781c_lo0006	1201	1276	1778	1217	0	1234	1299	1278	1227	1170	1159	1296	1224	1089	1281	1153	1157	1181	1185	3114	1211	1196	1359	1180	1235	1182	1238	1289	1215	1114	1304	1134	1276	1516	1417	1553	1331	1524	1491	3874	1532	1335	3239	1297	1515	1338	1197	1273	1328	1238	3338	3512	1373	1235	1257	1514	1296	1342	1136	1352	1329
PD4781c_lo0007	1361	1330	1782	1311	1234	0	1321	1250	1401	1246	1195	1362	1144	1233	1243	1105	1275	1181	1275	3182	1187	1282	1433	1196	1329	1338	1312	1295	1177	1046	1328	1230	1266	1548	1559	1675	1507	1580	1567	3918	1626	1441	3289	1379	1497	1402	1321	1357	1310	1310	3414	3584	1327	1397	1331	1470	1320	1398	1282	1432	1457
PD4781c_lo0008	1410	1403	1917	1336	1299	1321	0	1369	1434	1317	1232	1305	1285	1256	1374	1204	1336	1238	1298	3241	1302	1319	1506	1187	1396	1399	1271	1380	1286	1215	1401	1245	1329	1625	1620	1752	1564	1641	1542	4027	1637	1382	3334	1414	1598	1483	1362	1380	1365	1355	3483	3671	1456	1438	1368	1573	1371	1435	1355	1391	1518
PD4781c_lo0009	1385	1342	1790	1373	1278	1250	1369	0	1431	1288	1209	1396	1206	1269	1291	1167	1321	1245	1309	3224	1233	1352	1441	1200	1361	1368	1360	1327	1173	1120	1324	1268	1294	1576	1573	1721	1547	1568	1605	3986	1654	1469	3349	1419	1499	1430	1351	1407	1370	1372	3456	3644	1349	1433	1379	1490	1318	1460	1318	1472	1453
PD4781c_lo0010	1344	1443	1953	1372	1227	1401	1434	1431	0	1339	1304	1429	1365	1240	1426	1300	1304	1326	1346	3253	1366	1361	1498	1343	1396	1335	1359	1448	1382	1279	1459	1307	1443	1687	1596	1716	1444	1689	1594	3995	1687	1472	3366	1438	1652	1487	1342	1424	1491	1407	3481	3657	1514	1416	1424	1639	1449	1485	1287	1453	1456
PD4781c_lo0011	1309	1286	1850	1267	1170	1246	1317	1288	1339	0	1171	1324	1210	1177	1281	1141	1217	1199	1217	3108	1221	1248	1377	1190	1269	1294	1276	1281	1213	1120	1304	1176	1266	1518	1513	1637	1441	1542	1527	3850	1572	1395	3251	1333	1507	1344	1265	1295	1324	1286	3354	3536	1355	1335	1275	1500	1338	1364	1228	1408	1425
