	PD5117aa	PD5117ab	PD5117ac	PD5117ad	PD5117ae	PD5117af	PD5117ag	PD5117ah	PD5117ai	PD5117aj	PD5117ak	PD5117al	PD5117am	PD5117an	PD5117ao	PD5117ap	PD5117aq	PD5117as	PD5117at	PD5117au	PD5117av	PD5117aw	PD5117ax	PD5117az	PD5117ba	PD5117bb	PD5117bc	PD5117bd	PD5117be	PD5117bf	PD5117bg	PD5117bh	PD5117bi	PD5117bj	PD5117bk	PD5117bl	PD5117bm	PD5117bn	PD5117bo	PD5117bp	PD5117br	PD5117bs	PD5117bt	PD5117bu	PD5117bv	PD5117bw	PD5117bx	PD5117by	PD5117bz	PD5117ca	PD5117cb	PD5117cc	PD5117cd	PD5117ce	PD5117cg	PD5117ch	PD5117ci	PD5117cj	PD5117ck	PD5117cl	PD5117cm	PD5117cn	PD5117co	PD5117cp	PD5117cq	PD5117cr	PD5117cs	PD5117ct	PD5117cu	PD5117cv	PD5117cw	PD5117cx	PD5117cy	PD5117cz	PD5117da	PD5117db	PD5117dc	PD5117dd	PD5117de	PD5117n	PD5117s	PD5117t	PD5117u	PD5117v	PD5117w	PD5117x	PD5117y	PD5117z
PD5117aa	0	5734	5718	5599	5256	4816	5303	5110	5044	4737	5338	4916	5584	5566	5735	5230	5386	5352	4988	5163	4691	4394	5602	5069	4921	5281	5194	5316	5211	5235	4824	4997	5055	4758	5020	5794	5046	4318	5306	4888	5387	5238	4708	5035	4955	5523	4699	5294	5178	4762	4856	5045	5198	5219	5511	5117	4448	5027	4893	5206	4510	5590	5192	5391	5330	4877	5738	5068	4973	4814	5001	4193	4336	4990	5245	5584	5149	5202	5137	5306	5311	5045	4350	5704	5136	5189	5106	4927
PD5117ab	5734	0	5852	6361	5424	5536	5463	5288	5800	5827	5546	5664	5744	5704	5853	5402	5530	6116	6114	6081	5065	5502	5710	5279	5749	5433	5920	6054	5975	5411	5492	5741	5801	5888	5196	5950	5924	5186	5496	5768	5553	6004	5472	5211	6063	5689	5857	6006	5458	5860	5582	5185	6048	5391	5705	5937	5340	5173	5103	5930	5600	5756	5336	6147	6132	5589	5892	5948	5193	5918	6125	5291	5472	5170	5449	5746	5297	6288	6013	5480	5473	5841	5440	5858	5894	5917	5766	5739
PD5117ac	5718	5852	0	6293	5414	5498	5401	5258	5752	5773	5476	5596	5740	5650	5373	5340	3934	6042	6064	6025	5013	5458	5682	5193	5721	5387	5910	6014	5867	5363	5438	5691	5769	5838	5158	5868	5870	5110	5416	5704	5517	5936	5440	4049	5971	5671	5803	5926	5398	5798	5534	5149	5996	5351	5675	5851	5268	5111	5059	5878	5544	5690	5330	6139	6070	5577	5800	5912	5161	5858	6069	5255	5412	5138	5401	5716	5233	6246	5985	5458	5435	5781	5434	5802	5792	5857	5702	5653
PD5117ad	5599	6361	6293	0	5883	5227	5864	5735	5345	5674	5953	5303	6179	6151	6320	5797	6003	5885	5945	5888	5266	5375	6177	5694	5588	5842	5783	5125	5596	5808	5437	4850	5602	5713	5571	6369	5727	5053	5907	5603	5964	5815	5271	5626	5908	6112	5680	5713	5795	5715	5335	5650	5923	5812	6128	5704	5193	5638	5516	5621	5437	6213	5743	5920	5993	4726	6317	5801	5634	5727	5930	5126	5313	5593	5858	6185	5736	6125	5878	5911	5916	5560	5309	6237	5657	4998	5707	5426
PD5117ae	5256	5424	5414	5883	0	5062	4939	4822	5304	5345	5050	5180	5288	5240	5405	4910	5072	5638	5622	5589	4565	5044	5318	4817	5235	4977	5464	5578	5461	4911	5022	5257	5363	5396	4686	5430	5434	4680	4970	5246	5069	5536	4998	4747	5559	5219	5339	5550	4990	5350	5110	4735	5586	4911	5215	5411	4838	4673	4603	5474	5130	5268	4864	5685	5634	5113	5448	5466	4731	5430	5635	4791	4988	4660	4959	5252	4847	5806	5557	4992	5021	5335	4954	5390	5360	5423	5276	5193
PD5117af	4816	5536	5498	5227	5062	0	5079	4946	4652	4891	5150	4464	5386	5346	5525	5042	5180	5092	5178	5075	4487	4562	5392	4927	4807	5053	5000	4914	4669	5033	4606	4569	4801	4938	4806	5570	4990	4260	5070	4800	5153	5028	4488	4837	5113	5331	4893	4804	5008	4888	4548	4831	5140	5023	5297	4909	4386	4805	4713	4726	4652	5390	4984	5129	5194	4477	5522	5042	4813	4940	5165	4357	4520	4766	5041	5380	4961	5370	5109	5108	5133	4743	4516	5488	4862	4787	4884	4671
PD5117ag	5303	5463	5401	5864	4939	5079	0	4809	5335	5344	5043	5197	5331	5269	5442	4919	5081	5663	5637	5598	4590	5009	5273	4790	5280	4974	5469	5581	5474	4936	5047	5266	5350	5401	4731	5459	5477	4741	3983	5267	4060	5549	4983	4724	5596	5230	5318	5589	4989	5395	5103	4722	5611	4920	5226	5414	4825	4700	4640	5463	5121	5279	4859	5708	5675	5178	5441	5491	4746	5429	5626	4802	4971	4697	4974	5291	4838	5795	5546	5055	5024	5366	5003	5409	5399	5462	5303	5254
PD5117ah	5110	5288	5258	5735	4822	4946	4809	0	5138	5163	4894	5046	5134	5084	5273	4726	4928	5506	5464	5429	4409	4862	5110	4613	5105	4815	5324	5456	5319	4767	4838	5095	5173	5240	4546	5286	5300	4564	4872	5106	4927	5380	4814	4583	5425	5063	5209	5404	4842	5228	4948	4583	5406	4755	5071	5275	4690	4537	4473	5302	4954	5136	4730	5567	5514	5019	5262	5296	4547	5256	5469	4647	4822	4510	4779	5142	4651	5664	5381	4892	4841	5189	4834	5226	5222	5305	5128	5089
PD5117ai	5044	5800	5752	5345	5304	4652	5335	5138	0	5105	5408	4784	5616	5592	5773	5280	5442	5294	5396	5329	4687	4806	5640	5163	5061	5325	5228	5062	5065	5275	4838	4747	5045	5186	5028	5806	5216	4494	5348	5066	5409	5264	4684	5053	5355	5581	5143	5128	5268	5154	4804	5075	5384	5263	5533	5123	4612	5055	4973	5054	4888	5624	5216	5391	5446	4599	5778	5240	5081	5152	5379	4597	4774	5014	5295	5640	5175	5578	5329	5374	5375	5017	4738	5708	5106	4903	5088	4887
PD5117aj	4737	5827	5773	5674	5345	4891	5344	5163	5105	0	5413	4989	5665	5617	5780	5287	5459	5479	4809	5254	4768	4027	5645	5178	5000	5330	5257	5399	5262	5272	4881	5034	5120	4445	5073	5799	5115	4381	5323	4925	5420	5295	4773	5102	4694	5604	4578	5345	5203	4593	4923	5064	5255	5296	5574	5178	4475	5050	4992	5269	4161	5641	5231	5528	5429	4932	5799	5113	5058	4545	4642	4156	3893	5037	5292	5665	5208	4841	5156	5341	5392	5138	4161	5759	5187	5244	5161	4978
PD5117ak	5338	5546	5476	5953	5050	5150	5043	4894	5408	5413	0	5258	5388	5340	5485	4980	5166	5738	5690	5633	4669	5122	5336	4839	5333	5041	5582	5658	5541	4989	5082	5351	5401	5508	4800	5536	5490	4812	5068	5334	5151	5570	5052	4803	5649	5299	5409	5594	5072	5450	5172	4779	5658	4985	5289	5473	4910	4821	4657	5558	5180	5362	4918	5795	5734	5193	5472	5552	4807	5486	5679	4877	5042	4754	5029	5378	4917	5894	5651	5040	5073	5391	5026	5454	5476	5531	5356	5301
PD5117al	4916	5664	5596	5303	5180	4464	5197	5046	4784	4989	5258	0	5498	5484	5645	5126	5314	5188	5278	5203	4603	4668	5492	5001	4945	5183	5120	5032	4845	5145	4732	4717	4921	5030	4932	5656	5088	4362	5218	4912	5275	5132	4562	4947	5219	5459	4977	3924	5116	5038	4638	4959	5250	5143	5443	5027	4482	4945	4817	3890	4744	5490	5034	5271	5304	4551	5624	5120	4921	5084	5279	4449	4606	4872	5187	5510	5089	5496	5211	5232	5217	4885	4624	5602	5006	4861	4984	4767
PD5117am	5584	5744	5740	6179	5288	5386	5331	5134	5616	5665	5388	5498	0	5584	5739	5244	5380	5950	5900	5871	4877	5318	5592	5103	5549	5247	5784	5884	5769	5253	5312	5571	5645	5724	5048	5786	5728	5032	5328	5588	5403	5830	5322	5047	5865	5555	5653	5816	5282	5654	5408	5049	5938	5241	5569	5711	5122	5037	4959	5778	5422	5610	5198	6027	5978	5485	5748	5762	5033	5726	5935	5093	5266	5004	5279	5590	5165	6122	5855	5356	5341	5659	5294	5686	5674	5757	5604	5529
PD5117an	5566	5704	5650	6151	5240	5346	5269	5084	5592	5617	5340	5484	5584	0	5715	5196	5354	5918	5896	5839	4855	5300	5552	5087	5523	5259	5766	5858	5709	5221	5272	5515	5621	5656	4962	5724	5716	4982	5282	5526	5363	5800	5256	5019	5851	5509	5605	5848	5262	5648	5386	5009	5858	5215	5519	5689	5114	4991	4901	5738	5390	5570	5140	5997	5940	5401	5704	5742	5017	5686	5905	5075	5252	4960	5233	5574	5107	6086	5817	5300	5273	5629	5248	5632	5664	5719	5564	5497
PD5117ao	5735	5853	5373	6320	5405	5525	5442	5273	5773	5780	5485	5645	5739	5715	0	5367	5065	6083	6075	6034	4998	5473	5701	5230	5718	5404	5947	6049	5956	5356	5469	5722	5778	5855	5173	5929	5911	5179	5443	5729	5514	5951	5441	4718	6008	5652	5802	6003	5429	5825	5553	5172	6003	5388	5664	5876	5291	5170	5078	5893	5543	5713	5343	6166	6089	5576	5873	5911	5178	5851	6040	5256	5407	5135	5416	5747	5252	6271	6018	5447	5452	5756	5431	5819	5845	5880	5753	5676
PD5117ap	5230	5402	5340	5797	4910	5042	4919	4726	5280	5287	4980	5126	5244	5196	5367	0	5016	5574	5550	5499	4509	4954	5206	4747	5215	4899	5446	5542	5385	4869	4960	5199	5267	5334	4630	5408	5390	4664	4932	5190	4993	5470	4926	4687	5473	5163	5329	5498	4922	5352	5044	4647	5566	4861	5183	5417	4784	4637	4577	5420	5048	5190	4830	5635	5626	5093	5334	5386	4663	5358	5577	4717	4904	4608	4889	5228	4763	5752	5497	4962	4925	5277	4890	5284	5340	5359	5226	5171
