	PD5147c_lo003	PD5147c_lo004	PD5147c_lo006	PD5147c_lo009	PD5147c_lo010	PD5147c_lo011	PD5147c_lo012	PD5147c_lo013	PD5147c_lo017	PD5147c_lo018	PD5147c_lo024	PD5147c_lo028	PD5147c_lo032	PD5147c_lo041	PD5147c_lo042	PD5147c_lo043	PD5147c_lo044	PD5147c_lo045	PD5147c_lo047	PD5147c_lo048	PD5147c_lo049	PD5147c_lo050	PD5147c_lo051	PD5147c_lo052	PD5147c_lo053	PD5147c_lo054	PD5147c_lo055	PD5147c_lo056	PD5147c_lo057	PD5147c_lo058	PD5147c_lo059	PD5147c_lo060	PD5147c_lo061	PD5147c_lo062	PD5147c_lo063	PD5147c_lo064	PD5147c_lo065	PD5147c_lo066	PD5147c_lo067	PD5147c_lo068	PD5147c_lo069	PD5147c_lo070	PD5147c_lo071	PD5147c_lo072	PD5147c_lo073	PD5147c_lo074	PD5147c_lo075	PD5147c_lo076	PD5147c_lo077	PD5147c_lo078	PD5147c_lo079	PD5147c_lo080	PD5147c_lo081	PD5147c_lo082	PD5147c_lo083	PD5147c_lo084	PD5147c_lo085	PD5147c_lo086	PD5147c_lo087	PD5147c_lo088	PD5147c_lo089	PD5147c_lo090	PD5147c_lo091	PD5147c_lo092	PD5147c_lo093	PD5147c_lo094
PD5147c_lo003	0	2920	2976	3131	2977	3188	3064	2794	2961	3037	3213	3093	2257	3112	3494	3221	3288	3291	3304	3108	3380	3296	3168	3373	3009	2670	2632	3554	3296	3329	3569	3261	3479	2594	3197	3323	3310	3263	3304	3391	3201	3042	3181	3312	3290	3442	3294	3450	3469	3195	3339	2650	3251	3361	3199	3117	3483	3344	3392	3262	3566	3385	3040	3295	3336	3431
PD5147c_lo004	2920	0	2502	2681	2529	2768	2562	2376	2491	2537	2723	2669	2521	2962	3024	2809	2774	2887	2892	2700	2968	3060	2720	2965	2909	2948	2896	3090	2928	3097	3131	2937	3073	2822	2769	2867	2856	2829	2916	2915	2845	2684	2741	2842	2766	3008	2860	3074	2997	2749	2939	2942	2929	2949	2757	2645	3149	2872	2974	2966	3138	2981	2782	2837	2840	2993
PD5147c_lo006	2976	2502	0	2659	2579	2806	2290	2422	2493	2233	2801	2719	2533	2992	2694	2851	2868	2915	2956	2766	3002	3072	2206	2989	2949	2990	2948	2936	2942	3205	2617	2979	3137	2840	2753	2863	2850	2803	2980	2913	2873	2726	2719	2834	2894	2986	2862	3030	3005	2773	3009	2956	2975	2955	2627	2631	3147	2734	2962	3008	3174	3025	2832	2823	2922	2991
PD5147c_lo009	3131	2681	2659	0	2730	2955	2709	2585	2622	2688	2936	2854	2688	3109	3145	2972	2987	3064	3087	2907	3147	3203	2851	3110	3068	3115	3077	3237	3105	3308	3254	3110	3250	2987	2858	2990	2989	2994	3101	3062	3024	2877	2874	3047	3041	3149	3017	2917	3166	2914	3116	3119	3118	3096	2902	2770	3222	2987	3105	3139	3289	3172	2951	2972	3069	3082
PD5147c_lo010	2977	2529	2579	2730	0	2803	2651	2427	2584	2626	2804	2724	2562	3005	3067	2854	2899	2916	2963	2759	3019	3077	2797	2924	2936	3001	2953	3159	2975	3184	3198	2962	3094	2851	2826	2934	2935	2892	2885	2986	2880	2727	2790	2927	2883	3059	2931	3125	3090	2808	3004	2989	2954	3016	2822	2712	3158	2925	3031	3005	3089	3018	2805	2908	2965	3074
PD5147c_lo011	3188	2768	2806	2955	2803	0	2854	2640	2795	2797	3035	2919	2773	3214	3278	3059	3112	3137	3164	2990	3210	3286	2996	3149	3145	3174	3160	3342	3164	3429	3381	3185	3269	3064	3045	3145	3144	3117	3192	3203	3067	2936	3023	3178	3112	3278	3134	3332	3309	3029	3159	3180	3179	3223	3015	2929	3373	3152	3234	3230	3278	3223	3042	3115	3152	3283
PD5147c_lo012	3064	2562	2290	2709	2651	2854	0	2494	2573	2269	2849	2793	2609	3082	2704	2911	2926	2983	3026	2830	3054	3150	2490	3075	3009	3062	3022	3014	3014	3247	2907	3035	3177	2916	2805	2919	2908	2885	3018	2975	2971	2776	2771	2886	2958	3052	2928	3084	3087	2817	3049	3064	3041	3031	2673	2699	3211	2778	3010	3056	3234	3079	2906	2883	2992	3019
PD5147c_lo013	2794	2376	2422	2585	2427	2640	2494	0	2431	2455	2653	2451	2371	2804	2922	2475	2732	2647	2740	2564	2644	2894	2642	2847	2767	2774	2742	2990	2770	3025	3045	2821	2979	2654	2649	2787	2786	2735	2822	2847	2669	2354	2651	2790	2758	2916	2772	2960	2945	2643	2793	2788	2715	2863	2681	2559	2977	2780	2872	2842	2998	2765	2638	2737	2802	2919
PD5147c_lo017	2961	2491	2493	2622	2584	2795	2573	2431	0	2516	2764	2716	2536	3003	2995	2836	2865	2928	2937	2779	3009	3099	2695	3002	2948	2983	2945	3039	2979	3188	3120	2986	3144	2833	2754	2642	2671	2812	2971	2776	2860	2715	2730	2881	2873	2855	2831	3037	2814	2778	3012	2997	2984	2950	2742	2624	3170	2847	2951	2993	3179	3036	2793	2798	2925	2972
PD5147c_lo018	3037	2537	2233	2688	2626	2797	2269	2455	2516	0	2836	2758	2592	3031	2685	2858	2885	2924	2981	2773	3037	3121	2441	3032	2974	3023	2995	2953	3001	3224	2866	3010	3170	2881	2778	2880	2867	2850	3003	2936	2912	2741	2750	2851	2939	3009	2885	3071	3048	2796	3046	3019	2994	2974	2634	2656	3176	2757	2991	3039	3191	3046	2857	2864	2957	3028
PD5147c_lo024	3213	2723	2801	2936	2804	3035	2849	2653	2764	2836	0	2932	2776	3243	3313	3086	3087	3164	3185	3015	3253	3343	3001	3256	3180	3233	3177	3369	3211	3432	3418	3222	3386	3087	3042	3178	3169	3120	3203	3222	3100	2937	3036	3149	3113	3293	3159	3363	3314	3030	3242	3221	3202	3258	3038	2934	3432	3157	3265	3249	3409	3264	3037	3114	3165	3276
PD5147c_lo028	3093	2669	2719	2854	2724	2919	2793	2451	2716	2758	2932	0	2652	3115	3203	2864	3019	2650	3039	2865	3033	3201	2899	3126	3040	3069	3051	3275	3081	3308	3324	3086	3258	2935	2956	3052	3045	3006	3081	3102	2958	2719	2946	3051	3041	3189	3059	3251	3214	2920	3066	3099	2704	3142	2938	2852	3274	3071	3161	3095	3305	2614	2953	2994	3089	3176
PD5147c_lo032	2257	2521	2533	2688	2562	2773	2609	2371	2536	2592	2776	2652	0	2689	3037	2796	2841	2870	2871	2689	2949	2887	2743	2966	2574	2197	2251	3105	2891	2888	3110	2814	3098	2179	2750	2900	2885	2820	2909	2962	2834	2609	2782	2881	2873	3015	2855	3007	3060	2786	2932	2185	2834	2940	2776	2666	3082	2891	2987	2835	3113	2960	2633	2850	2951	3030
PD5147c_lo041	3112	2962	2992	3109	3005	3214	3082	2804	3003	3031	3243	3115	2689	0	3484	3215	3286	3303	3320	3136	3390	3322	3174	3393	3137	3086	3032	3496	3332	3467	3573	3265	3519	2942	3217	3321	3304	3297	3350	3367	3249	3090	3197	3302	3294	3450	3328	3488	3477	3203	3349	3054	3315	3363	3217	3125	3553	3344	3428	3268	3572	3399	3050	3301	3368	3423
PD5147c_lo042	3494	3024	2694	3145	3067	3278	2704	2922	2995	2685	3313	3203	3037	3484	0	3333	3354	3407	3464	3270	3506	3570	2898	3491	3429	3472	3448	3416	3434	3695	3315	3459	3591	3332	3261	3333	3346	3297	3468	3373	3355	3188	3211	3306	3368	3464	3318	3502	3503	3263	3499	3494	3437	3453	3091	3109	3641	3210	3406	3512	3610	3493	3324	3293	3394	3469
PD5147c_lo043	3221	2809	2851	2972	2854	3059	2911	2475	2836	2858	3086	2864	2796	3215	3333	0	3107	3056	3159	2987	2769	3293	3037	3246	3140	3215	3159	3411	3183	3446	3448	3196	3362	3049	3104	3180	3195	3136	3211	3234	3092	2409	3044	3195	3161	3319	3175	3363	3346	3052	3182	3207	3086	3248	3084	2978	3386	3189	3265	3229	3401	3160	3035	3130	3177	3320
PD5147c_lo044	3288	2774	2868	2987	2899	3112	2926	2732	2865	2885	3087	3019	2841	3286	3354	3107	0	3227	3264	3082	3314	3378	3058	3313	3231	3260	3226	3434	3276	3425	3477	3265	3417	3120	3099	3221	3184	3173	3244	3267	3171	3018	3087	3168	3126	3338	3206	3388	3369	3099	3287	3256	3291	3331	3113	3001	3467	3214	3304	3300	3460	3313	3122	3189	3188	3331
PD5147c_lo045	3291	2887	2915	3064	2916	3137	2983	2647	2928	2924	3164	2650	2870	3303	3407	3056	3227	0	3239	3057	3237	3385	3093	3326	3226	3273	3237	3447	3227	3504	3522	3276	3452	3135	3150	3260	3271	3188	3291	3300	3152	2945	3132	3249	3213	3349	3251	3429	3402	3112	3282	3289	2756	3342	3146	3046	3472	3261	3343	3283	3487	2946	3121	3214	3285	3390
PD5147c_lo047	3304	2892	2956	3087	2963	3164	3026	2740	2937	2981	3185	3039	2871	3320	3464	3159	3264	3239	0	3072	3324	3420	3160	3373	3267	3302	3236	3506	3204	3545	3579	3325	3465	3172	3193	3309	3288	3247	3312	3343	3155	3044	3171	3290	3272	3392	3306	3498	3425	3173	3207	3318	3263	3371	3197	3091	3479	3296	3394	3342	3522	3327	3140	3259	3294	3405
PD5147c_lo048	3108	2700	2766	2907	2759	2990	2830	2564	2779	2773	3015	2865	2689	3136	3270	2987	3082	3057	3072	0	3132	3234	2962	3177	3073	3110	3058	3316	3062	3331	3367	3117	3273	2962	2997	3105	3096	3059	3130	3193	2931	2878	2983	3100	3056	3224	3096	3292	3277	3009	3077	3090	3113	3193	2993	2887	3275	3088	3234	3134	3324	3167	2942	3051	3120	3255
PD5147c_lo049	3380	2968	3002	3147	3019	3210	3054	2644	3009	3037	3253	3033	2949	3390	3506	2769	3314	3237	3324	3132	0	3322	3172	3445	3291	3348	3328	3568	3326	3589	3607	3365	3549	3240	3251	3359	3368	3333	3396	3413	3253	2642	3191	3344	3324	3496	3350	3510	3503	3223	3377	3382	3271	3423	3229	3131	3549	3350	3456	3396	3572	3343	3200	3319	3386	3483
PD5147c_lo050	3296	3060	3072	3203	3077	3286	3150	2894	3099	3121	3343	3201	2887	3322	3570	3293	3378	3385	3420	3234	3322	0	3272	3483	3101	3290	3246	3624	3418	3627	3671	3385	3593	3160	3311	3387	3414	3385	3436	3485	3317	3200	3297	3388	3376	3550	3428	3586	3577	3297	3455	3282	3441	3283	3305	3195	3635	3412	3516	3238	3632	3495	3028	3381	3452	3519
PD5147c_lo051	3168	2720	2206	2851	2797	2996	2490	2642	2695	2441	3001	2899	2743	3174	2898	3037	3058	3093	3160	2962	3172	3272	0	3199	3135	3204	3128	3152	3140	3399	2701	3171	3327	3050	2945	3053	3048	3023	3174	3115	3077	2884	2923	3002	3080	3176	3044	3224	3215	2969	3195	3180	3151	3131	2815	2807	3363	2924	3126	3222	3350	3211	3000	3001	3136	3167
PD5147c_lo052	3373	2965	2989	3110	2924	3149	3075	2847	3002	3032	3256	3126	2966	3393	3491	3246	3313	3326	3373	3177	3445	3483	3199	0	3328	3373	3315	3563	3367	3608	3626	3402	3264	3233	3246	3344	3375	3310	3401	3408	3296	3137	3216	3301	3313	3479	3353	3531	3518	3244	3396	3361	3374	3436	3204	3128	3564	3337	3465	3419	2927	3430	3227	3304	3371	3474
PD5147c_lo053	3009	2909	2949	3068	2936	3145	3009	2767	2948	2974	3180	3040	2574	3137	3429	3140	3231	3226	3267	3073	3291	3101	3135	3328	0	2981	2939	3495	3289	3406	3516	3232	3440	2775	3154	3266	3271	3214	3283	3322	3168	3015	3170	3255	3241	3399	3273	3429	3432	3142	3300	2965	3238	3222	3162	3078	3456	3313	3375	3091	3483	3336	2887	3252	3295	3406
PD5147c_lo054	2670	2948	2990	3115	3001	3174	3062	2774	2983	3023	3233	3069	2197	3086	3472	3215	3260	3273	3302	3110	3348	3290	3204	3373	2981	0	2654	3550	3322	3317	3557	3233	3497	2592	3187	3321	3322	3251	3314	3363	3231	3044	3215	3312	3302	3436	3290	3430	3449	3203	3357	2594	3255	3339	3201	3101	3503	3342	3424	3258	3528	3367	3058	3289	3362	3425
PD5147c_lo055	2632	2896	2948	3077	2953	3160	3022	2742	2945	2995	3177	3051	2251	3032	3448	3159	3226	3237	3236	3058	3328	3246	3128	3315	2939	2654	0	3470	3264	3277	3497	3201	3469	2554	3159	3267	3270	3241	3270	3329	3175	3012	3161	3258	3236	3402	3260	3382	3429	3165	3295	2642	3203	3327	3139	3059	3451	3298	3364	3208	3502	3339	3040	3239	3296	3387
PD5147c_lo056	3554	3090	2936	3237	3159	3342	3014	2990	3039	2953	3369	3275	3105	3496	3416	3411	3434	3447	3506	3316	3568	3624	3152	3563	3495	3550	3470	0	3520	3737	3551	3531	3663	3400	3305	3427	3406	3369	3520	3469	3431	3288	3299	3344	3446	3514	3394	3588	3551	3325	3563	3538	3545	3511	3105	3161	3725	3258	3488	3564	3732	3567	3378	3359	3492	3563
PD5147c_lo057	3296	2928	2942	3105	2975	3164	3014	2770	2979	3001	3211	3081	2891	3332	3434	3183	3276	3227	3204	3062	3326	3418	3140	3367	3289	3322	3264	3520	0	3573	3561	3323	3479	3176	3197	3277	3326	3275	3316	3343	3203	3050	3171	3318	3276	3412	3290	3504	3453	3183	3239	3308	3307	3393	3195	3091	3465	3300	3412	3354	3544	3369	3168	3271	3326	3459
