	PD5163d_lo0001	PD5163d_lo0002	PD5163d_lo0003	PD5163d_lo0004	PD5163d_lo0005	PD5163d_lo0006	PD5163d_lo0007	PD5163d_lo0008	PD5163d_lo0010	PD5163d_lo0011	PD5163d_lo0012	PD5163d_lo0013	PD5163d_lo0014	PD5163d_lo0015	PD5163d_lo0016	PD5163d_lo0017	PD5163d_lo0018	PD5163d_lo0019	PD5163d_lo0020	PD5163d_lo0022	PD5163d_lo0023	PD5163d_lo0024	PD5163d_lo0025	PD5163d_lo0026	PD5163d_lo0027	PD5163d_lo0029	PD5163d_lo0031	PD5163d_lo0033	PD5163d_lo0034	PD5163d_lo0035	PD5163d_lo0036	PD5163d_lo0037	PD5163d_lo0038	PD5163d_lo0039	PD5163d_lo0040	PD5163d_lo0041	PD5163d_lo0042	PD5163d_lo0043	PD5163d_lo0044	PD5163d_lo0045	PD5163d_lo0046	PD5163d_lo0051	PD5163d_lo0055	PD5163d_lo0056	PD5163d_lo0057	PD5163d_lo0058	PD5163d_lo0059	PD5163d_lo0063	PD5163d_lo0064	PD5163d_lo0065	PD5163d_lo0066	PD5163d_lo0067	PD5163d_lo0070	PD5163d_lo0072	PD5163d_lo0073	PD5163d_lo0074	PD5163d_lo0076	PD5163d_lo0077	PD5163d_lo0079	PD5163d_lo0080	PD5163d_lo0081	PD5163d_lo0082	PD5163d_lo0084	PD5163d_lo0085	PD5163d_lo0086	PD5163d_lo0088	PD5163d_lo0089	PD5163d_lo0091	PD5163d_lo0092	PD5163d_lo0094
PD5163d_lo0001	0	2923	3210	2885	2978	2776	3165	2945	3169	3122	2848	2883	3120	3060	2892	3102	3012	3022	2969	3319	3120	3028	2927	2859	3032	3058	3009	3249	2575	2889	3030	2897	2740	3067	3118	3045	3038	3037	2846	2900	2926	2874	2893	3162	2868	3016	2501	2613	3114	3068	2754	2908	2829	2859	3090	3135	2968	2790	2630	2974	3107	3042	2962	2892	2933	3088	2867	3128	3463	2790
PD5163d_lo0002	2923	0	3007	2646	2779	2555	2934	2732	2934	2915	2603	2654	2907	2805	2657	2851	2789	2817	2750	3102	2893	2811	2700	2636	2795	2867	2802	3040	2396	2668	2827	2676	2521	2892	2931	2804	2827	2884	2643	2681	2697	2661	2670	2931	2657	2835	2280	2406	2889	2861	2549	2677	2618	2650	2893	2944	2721	2581	2405	2757	2904	2867	2747	2663	2716	2871	2630	2917	3206	2557
PD5163d_lo0003	3210	3007	0	3013	3090	2906	3257	3083	3283	3242	2970	3003	2860	3192	3042	3200	3170	3138	3079	3447	2692	3136	3077	2991	3132	3218	3153	3379	2713	3021	2644	3023	2856	3207	3254	2669	3166	3171	2976	3022	3058	3024	3027	3290	2968	3164	2615	2245	3210	2690	2880	2994	2955	2979	3230	3283	3114	2928	2764	3106	3233	3194	3098	3024	3075	2694	2983	3236	3545	2928
PD5163d_lo0004	2885	2646	3013	0	2733	2551	2938	2724	2912	2885	2621	2658	2919	2815	2693	2863	2827	2797	2758	3116	2895	2795	2730	2646	2795	2859	2798	3010	2390	2674	2815	2700	2523	2864	2935	2816	2811	2840	2653	2697	2733	2673	2668	2939	2649	2837	2296	2392	2883	2859	2549	2669	2592	2680	2865	2964	2723	2567	2409	2757	2902	2851	2761	2681	2714	2843	2656	2897	3218	2581
PD5163d_lo0005	2978	2779	3090	2733	0	2630	3017	2845	3021	2960	2670	2719	3014	2914	2768	2942	2878	2900	2835	3211	2990	2916	2843	2731	2924	2946	2897	3107	2487	2759	2910	2765	2594	2981	3038	2913	2914	2939	2752	2776	2830	2762	2779	3012	2742	2916	2361	2503	2974	2982	2640	2772	2685	2713	2990	3031	2814	2684	2488	2842	2991	2942	2856	2768	2795	2992	2733	3024	3311	2662
PD5163d_lo0006	2776	2555	2906	2551	2630	0	2807	2613	2793	2756	2496	2527	2812	2718	2550	2758	2702	2696	2621	2999	2798	2708	2599	2521	2676	2752	2681	2907	2279	2571	2704	2567	2386	2779	2820	2695	2666	2731	2546	2596	2598	2554	2561	2810	2492	2704	2167	2291	2756	2746	2430	2562	2487	2533	2778	2819	2610	2478	2276	2670	2773	2718	2620	2528	2625	2756	2517	2784	3123	2414
PD5163d_lo0007	3165	2934	3257	2938	3017	2807	0	2978	3212	2665	2883	2926	3181	3101	2957	3109	3083	3067	3008	3362	3175	3055	2974	2912	3053	3117	3080	2762	2648	2948	3081	2472	2781	3154	2751	3098	3075	3084	2903	2945	2963	2929	2946	3209	2885	3097	2558	2710	3121	3157	2811	2953	2896	2904	3111	3240	3009	2857	2677	3025	2746	3125	3011	2933	2990	3135	2932	3183	3508	2835
PD5163d_lo0008	2945	2732	3083	2724	2845	2613	2978	0	2998	2953	2681	2716	2989	2911	2773	2951	2909	2865	2844	3190	2947	2901	2808	2718	2883	2917	2888	3080	2448	2734	2883	2748	2579	2970	3003	2888	2865	2922	2705	2763	2783	2731	2764	3009	2713	2925	2362	2484	2959	2921	2629	2739	2676	2722	2965	3008	2833	2611	2481	2843	2958	2947	2803	2753	2796	2929	2746	2977	3312	2617
PD5163d_lo0010	3169	2934	3283	2912	3021	2793	3212	2998	0	3179	2885	2918	3185	3117	2943	3125	3077	3049	3032	3390	3163	3065	3000	2924	3047	3145	3068	3306	2666	2958	3097	2960	2793	3128	3207	3096	3091	3130	2917	2965	3005	2941	2960	3235	2915	3103	2558	2664	3119	3123	2831	2925	2870	2918	3157	3210	3007	2855	2665	3027	3204	3121	3029	2951	2986	3125	2916	3171	3512	2859
PD5163d_lo0011	3122	2915	3242	2885	2960	2756	2665	2953	3179	0	2822	2867	3148	3044	2900	3072	3046	3026	2951	3327	3148	3056	2935	2875	3014	3096	3047	2633	2601	2901	3044	2445	2742	3093	2700	3065	3054	3059	2882	2902	2916	2888	2897	3182	2850	3064	2515	2637	3096	3094	2784	2902	2825	2887	3128	3183	2954	2806	2638	2994	2691	3088	2968	2904	2945	3078	2871	3116	3447	2818
