	PD5179aa	PD5179ab	PD5179ac	PD5179ad	PD5179ae	PD5179af	PD5179ag	PD5179ah	PD5179ai	PD5179aj	PD5179ak	PD5179al	PD5179am	PD5179an	PD5179ao	PD5179ap	PD5179aq	PD5179ar	PD5179as	PD5179at	PD5179au	PD5179av	PD5179aw	PD5179ax	PD5179ay	PD5179ba	PD5179bb	PD5179bc	PD5179bd	PD5179be	PD5179bf	PD5179bg	PD5179bh	PD5179bi	PD5179bj	PD5179bk	PD5179bl	PD5179bm	PD5179bo	PD5179bp	PD5179bq	PD5179br	PD5179bs	PD5179bt	PD5179bu	PD5179bv	PD5179bw	PD5179by	PD5179bz	PD5179ca	PD5179cb	PD5179cc	PD5179ce	PD5179cf	PD5179cg	PD5179ch	PD5179ci	PD5179cj	PD5179ck	PD5179cl	PD5179cm	PD5179cn	PD5179co	PD5179cp	PD5179cq	PD5179cr	PD5179cs	PD5179ct	PD5179cu	PD5179cv	PD5179cw	PD5179cx	PD5179cy	PD5179cz	PD5179da	PD5179db	PD5179dc	PD5179dd	PD5179m	PD5179n	PD5179o	PD5179p	PD5179q	PD5179r	PD5179s	PD5179t	PD5179u	PD5179v	PD5179w	PD5179x	PD5179y	PD5179z
PD5179aa	0	1715	1842	1660	1802	1620	1833	1791	1782	1665	1757	1724	1719	1797	1524	1998	1778	1827	2435	1827	1732	1835	3031	1793	1933	1611	1635	1734	2256	3042	2096	1864	1969	1751	3016	1599	1930	1763	2231	1745	1926	1760	2143	1686	1918	1890	1764	1718	1577	1658	1904	1787	1715	1826	1774	1798	1639	2126	1824	1885	1768	1694	1896	2508	1969	1548	2021	1909	1734	1846	1599	1603	1853	1949	1680	1790	1986	1647	1993	1853	2050	2612	1855	1846	1856	1640	1768	1625	1690	1815	1445	1444
PD5179ab	1715	0	1997	1825	1969	1807	1992	1956	1881	1874	1898	1893	1854	1962	1695	2165	1955	1978	2612	1998	1911	2008	3202	1920	2104	1842	1810	1911	2423	3199	2259	2023	2140	1938	3187	1752	2079	1910	2378	1812	2093	1927	2324	1855	2095	2069	1947	1799	1770	1787	2073	1918	1862	2013	1953	1981	1842	2299	2011	2052	1933	1867	2079	2691	2128	1755	2186	2066	1899	1999	1746	1742	2014	2108	1837	1957	2153	1782	2126	1952	2227	2773	2028	2009	2027	1809	1939	1728	1881	2012	1616	1693
PD5179ac	1842	1997	0	1838	1976	1542	2013	2097	2072	1975	2065	1876	2007	1959	1824	2162	1930	1975	2607	1999	1962	2007	3193	2089	2109	1957	1869	1868	2404	3176	2272	2028	2199	1925	3168	1911	2056	1979	2397	2045	2158	1916	2325	1924	2068	2040	1942	2010	1809	1944	2068	2077	1887	1996	1978	1964	1965	2266	2000	2049	1930	1868	2068	2688	2119	1856	2177	2065	1892	1986	1897	1883	2023	2149	1980	2018	2144	1945	2131	2149	2218	2760	2027	2006	2020	1802	1948	1933	1736	1989	1713	1798
PD5179ad	1660	1825	1838	0	1708	1636	1727	1919	1902	1833	1893	1710	1835	1679	1654	1838	1754	1689	2335	1803	1794	1745	2911	1919	1819	1781	1689	1720	2152	2930	1996	1828	2027	1729	2906	1723	1766	1833	2125	1883	1988	1624	2045	1750	1822	1768	1660	1850	1663	1780	1762	1883	1601	1720	1822	1684	1805	2006	1684	1777	1652	1700	1786	2426	1839	1690	1915	1793	1724	1820	1727	1711	1827	2005	1804	1850	1876	1771	1953	1991	1938	2518	1755	1730	1758	1618	1652	1765	1714	1723	1545	1636
PD5179ae	1802	1969	1976	1708	0	1760	1827	2067	2056	1971	2023	1822	1977	1717	1790	2008	1900	1635	2483	1953	1928	1827	3069	2063	1939	1925	1833	1858	2286	3050	2116	1956	2183	1889	3064	1865	1950	1961	2267	2007	2156	1650	2175	1900	1866	1726	1658	2000	1795	1916	1942	2039	1691	1766	1948	1722	1933	2010	1864	1877	1678	1828	1832	2566	1895	1846	1917	1829	1866	1950	1863	1851	1965	2131	1936	1928	1948	1913	2103	2139	1910	2648	1839	1818	1766	1758	1700	1881	1858	1825	1687	1782
PD5179af	1620	1807	1542	1636	1760	0	1807	1879	1884	1795	1839	1684	1803	1743	1622	1960	1732	1787	2417	1811	1764	1811	2991	1893	1911	1743	1667	1674	2214	2994	2068	1814	2001	1727	2992	1703	1882	1797	2179	1841	1972	1704	2107	1728	1888	1860	1740	1820	1631	1762	1878	1879	1663	1800	1784	1764	1765	2072	1796	1855	1720	1668	1870	2502	1935	1672	1989	1871	1704	1798	1691	1677	1815	1965	1758	1806	1954	1741	1939	1961	2036	2578	1815	1816	1826	1598	1742	1727	1536	1807	1511	1616
PD5179ag	1833	1992	2013	1727	1827	1807	0	2102	2075	2010	2038	1865	2022	1800	1815	2051	1921	1836	2502	1974	1969	1720	3094	2094	1822	1956	1868	1889	2315	3123	2053	1997	2210	1908	3093	1890	1985	2002	2296	2056	2183	1771	2218	1925	1943	1899	1785	2041	1834	1947	1967	2076	1640	1849	1991	1811	1950	2077	1881	1766	1787	1861	1917	2615	1994	1873	2012	1932	1903	1987	1918	1886	2004	2160	1989	2009	1829	1946	2124	2152	2079	2663	1792	1697	1889	1801	1797	1922	1869	1764	1724	1815
PD5179ah	1791	1956	2097	1919	2067	1879	2102	0	2039	1958	2008	1981	1936	2046	1783	2269	2029	2080	2400	2088	1991	2126	3296	2058	2210	1934	1882	1969	2211	3261	2359	2099	2206	2016	3297	1836	2179	2016	2462	1986	2207	2011	2376	1943	2177	2159	2017	1975	1866	1899	2155	2004	1958	2083	2023	2047	1926	2337	2091	2076	2027	1963	2147	2473	2218	1777	2260	2160	1981	2093	1868	1824	2098	2130	1927	2023	2239	1910	2212	2124	2311	2577	2132	2105	2119	1899	2043	1868	1971	2094	1698	1777
PD5179ai	1782	1881	2072	1902	2056	1884	2075	2039	0	1959	1975	1960	1949	2047	1782	2248	2010	2059	2659	2067	1982	2103	3273	2003	2189	1911	1883	1966	2498	3254	2334	2106	2219	2007	3256	1819	2130	1997	2463	1903	2196	1998	2393	1958	2176	2120	2016	1878	1845	1874	2156	1993	1949	2070	2032	2040	1909	2356	2060	2125	2024	1966	2140	2768	2205	1816	2257	2165	1990	2084	1829	1813	2101	2173	1912	2028	2202	1869	2203	2035	2288	2832	2097	2082	2104	1896	2040	1807	1968	2061	1683	1784
PD5179aj	1665	1874	1975	1833	1971	1795	2010	1958	1959	0	1914	1873	1870	1964	1679	2169	1923	1966	2602	1948	1899	2000	3180	1940	2112	1794	1794	1871	2409	3169	2273	1991	2128	1928	3181	1762	2077	1924	2354	1902	2073	1915	2268	1863	2097	2045	1935	1893	1746	1809	2059	1926	1854	1985	1957	1959	1774	2291	1985	2032	1927	1857	2057	2661	2130	1707	2182	2076	1899	1973	1756	1756	1988	2092	1831	1947	2127	1822	2134	2028	2231	2765	2028	1985	2007	1797	1937	1798	1853	1982	1604	1649
