	PD5847h_lo0002	PD5847h_lo0006	PD5847h_lo0007	PD5847h_lo0008	PD5847h_lo0010	PD5847h_lo0017	PD5847h_lo0018	PD5847h_lo0019	PD5847h_lo0024	PD5847h_lo0025	PD5847h_lo0026	PD5847h_lo0027	PD5847h_lo0029	PD5847h_lo0032	PD5847h_lo0033	PD5847h_lo0097	PD5847h_lo0098	PD5847h_lo0099	PD5847h_lo0100	PD5847h_lo0101	PD5847h_lo0102	PD5847h_lo0103	PD5847h_lo0104	PD5847h_lo0105	PD5847h_lo0106	PD5847h_lo0107	PD5847h_lo0108	PD5847h_lo0109	PD5847h_lo0110	PD5847h_lo0111	PD5847h_lo0112	PD5847h_lo0113	PD5847h_lo0115	PD5847h_lo0116	PD5847h_lo0117	PD5847h_lo0118	PD5847h_lo0120	PD5847h_lo0121	PD5847h_lo0122	PD5847h_lo0123	PD5847h_lo0124	PD5847h_lo0125	PD5847h_lo0126	PD5847h_lo0127	PD5847h_lo0128	PD5847h_lo0129	PD5847h_lo0130	PD5847h_lo0131	PD5847h_lo0132	PD5847h_lo0133	PD5847h_lo0135	PD5847h_lo0136	PD5847h_lo0137	PD5847h_lo0138	PD5847h_lo0139	PD5847h_lo0140	PD5847h_lo0142	PD5847h_lo0143	PD5847h_lo0144	PD5847h_lo0145	PD5847h_lo0146	PD5847h_lo0148	PD5847h_lo0151	PD5847h_lo0152	PD5847h_lo0154	PD5847h_lo0155	PD5847h_lo0156	PD5847h_lo0157	PD5847h_lo0158	PD5847h_lo0160	PD5847h_lo0161	PD5847h_lo0163	PD5847h_lo0164	PD5847h_lo0169	PD5847h_lo0170	PD5847h_lo0171	PD5847h_lo0172	PD5847h_lo0173	PD5847h_lo0174	PD5847h_lo0175	PD5847h_lo0176	PD5847h_lo0177	PD5847h_lo0178	PD5847h_lo0179	PD5847h_lo0180	PD5847h_lo0181	PD5847h_lo0182	PD5847h_lo0183	PD5847h_lo0184	PD5847h_lo0185	PD5847h_lo0186	PD5847h_lo0187	PD5847h_lo0188	PD5847h_lo0189	PD5847h_lo0190	PD5847h_lo0191
PD5847h_lo0002	0	1142	1173	1284	1259	2886	2430	1463	1233	1541	1223	1115	1174	1243	2717	2799	2608	1531	1455	1806	2820	1361	2739	1567	2771	1535	1529	1410	1326	1620	1449	1434	3158	1551	2696	1452	1404	1048	2914	1329	1518	1464	1442	1543	1577	1189	1572	1052	1427	1468	1459	2811	1803	1511	1196	1433	2549	1503	1460	1728	1546	1415	1383	1756	1330	1055	1154	1531	1042	2329	2695	1105	2866	1111	1473	1284	1119	1755	2991	3029	1550	1312	1459	1479	1386	1094	1693	1438	2885	1481	1433	1544	1135	1524	1517	1679
PD5847h_lo0006	1142	0	1093	1276	1239	2894	2448	1459	1227	1501	1225	1145	1162	1235	2721	2829	2624	1505	1461	1776	2816	1367	2747	1573	2771	1529	1541	1390	1332	1602	1441	1412	3158	1517	2706	1432	1396	1032	2898	1319	1524	1462	1420	1573	1553	1161	1550	1050	1419	1444	1467	2829	1799	1483	1198	1397	2573	1511	1438	1708	1532	1391	1365	1752	1340	1049	1130	1531	1032	2359	2685	1067	2870	1109	1449	1278	1095	1755	2987	3011	1530	1270	1461	1467	1386	1072	1691	1426	2909	1467	1419	1510	1103	1484	1513	1661
PD5847h_lo0007	1173	1093	0	1303	1276	2949	2485	1464	1260	1558	1250	1172	1209	1286	2772	2856	2643	1560	1516	1845	2875	1398	2784	1604	2802	1560	1444	1433	1337	1645	1480	1449	3193	1556	2755	1491	1429	1061	2943	1362	1577	1501	1459	1596	1588	1206	1583	1057	1456	1513	1506	2872	1818	1552	1213	1450	2588	1564	1493	1775	1571	1448	1410	1789	1333	1080	1187	1552	1085	2394	2744	1130	2915	1116	1474	1285	1118	1810	3060	3066	1581	1343	1504	1496	1415	1125	1744	1467	2920	1506	1452	1577	1158	1535	1526	1684
PD5847h_lo0008	1284	1276	1303	0	1409	3046	2594	1607	1385	1671	1005	1285	1318	1385	2865	2929	2728	1653	1623	1924	2954	1507	2887	1705	2883	1689	1669	1552	1466	1754	1573	1570	3302	1685	2848	1590	1550	1178	3040	1457	1682	1618	1576	1719	1711	1317	1702	1204	1565	1616	1641	2935	1945	1649	1348	1567	2665	1661	1594	1876	1688	1557	1537	1910	1470	1201	1304	1665	1196	2489	2831	1237	2996	1247	1593	1428	1259	1921	3129	3153	1710	1454	1605	1623	1506	1250	1835	1578	3015	1615	1565	1672	1277	1650	1659	1787
PD5847h_lo0010	1259	1239	1276	1409	0	2971	2541	1578	1290	1612	1332	1270	1243	1334	2814	2880	2701	1586	1566	1895	2925	1472	2820	1676	2836	1616	1644	1495	1445	1705	1540	1543	3247	1612	2779	1495	1527	1145	2999	1414	1633	1517	1501	1674	1658	1244	1653	1171	1378	1531	1518	2920	1902	1574	1289	1492	2654	1618	1551	1813	1643	1532	1444	1841	1455	1118	1251	1628	1141	2436	2792	1216	2949	1212	1580	1403	1228	1854	3070	3090	1667	1413	1556	1566	1483	1193	1794	1495	2968	1572	1510	1629	1240	1591	1632	1704
PD5847h_lo0017	2886	2894	2949	3046	2971	0	2602	3191	2989	3207	2981	2911	2906	2935	2877	2947	2758	3239	3157	3146	2988	3113	2897	3223	2961	3213	3279	3138	3090	3272	3131	3134	3298	3263	2942	3174	3160	2812	3066	3089	3224	3214	3146	3331	3215	2939	3318	2856	3187	3228	3219	2983	3157	3243	2956	3185	2843	2889	3174	3360	3200	3165	3145	3398	3076	2821	2848	2867	2806	2607	2831	2865	3040	2891	3215	3064	2901	3095	3141	3267	3226	3060	3187	3129	3062	2860	3143	3176	3053	3175	3107	3194	2901	3262	3203	3395
PD5847h_lo0018	2430	2448	2485	2594	2541	2602	0	2749	2511	2737	2507	2447	2422	2455	2413	2497	2274	2793	2681	2674	2498	2661	2427	2799	2449	2753	2825	2684	2634	2826	2655	2650	2788	2809	2436	2744	2724	2344	2582	2625	2752	2742	2726	2883	2769	2465	2864	2358	2709	2752	2761	2509	2689	2791	2492	2733	2293	2437	2698	2916	2758	2687	2667	2978	2628	2351	2372	2405	2338	2115	2379	2399	2582	2419	2745	2588	2435	2613	2713	2783	2780	2586	2755	2701	2606	2380	2645	2730	2583	2729	2649	2760	2431	2782	2717	2941
PD5847h_lo0019	1463	1459	1464	1607	1578	3191	2749	0	1554	1840	1544	1462	1491	1560	3048	3098	2931	1828	1778	2129	3135	1674	3042	1888	3070	1858	1808	1721	1637	1909	1760	1757	3427	1830	3021	1765	1597	1345	3215	1644	1843	1791	1751	1886	1872	1486	1863	1361	1734	1779	1784	3126	2138	1786	1415	1726	2870	1862	1767	2009	1849	1732	1702	2063	1641	1382	1477	1848	1367	2664	2990	1424	3173	1348	1780	1579	1412	2072	3308	3310	1865	1625	1780	1794	1693	1407	2012	1727	3204	1796	1730	1859	1442	1831	1816	1958
PD5847h_lo0024	1233	1227	1260	1385	1290	2989	2511	1554	0	1580	1332	1248	1215	1306	2804	2900	2673	1564	1542	1869	2903	1458	2798	1652	2852	1602	1634	1459	1409	1687	1520	1517	3243	1594	2779	1475	1497	1117	2965	1398	1621	1499	1469	1652	1622	1222	1643	1149	1452	1521	1514	2892	1886	1558	1219	1468	2652	1590	1529	1787	1625	1512	1422	1813	1433	1060	1231	1600	1113	2420	2782	1184	2941	1200	1546	1375	1204	1826	3102	3086	1609	1377	1554	1546	1461	1169	1770	1465	2972	1546	1492	1593	1204	1557	1594	1696
PD5847h_lo0025	1541	1501	1558	1671	1612	3207	2737	1840	1580	0	1612	1548	1531	1466	3002	3112	2899	1872	1770	2091	3127	1732	3044	1808	3076	1830	1908	1761	1703	1901	1744	1723	3471	1904	3017	1809	1781	1405	3215	1698	1819	1805	1787	1938	1864	1528	1911	1437	1770	1821	1820	3112	2100	1866	1585	1798	2884	1836	1761	2037	1835	1760	1760	2043	1705	1416	1467	1832	1389	2658	3022	1474	3157	1494	1838	1667	1502	2084	3312	3316	1869	1651	1816	1758	1689	1461	1990	1793	3204	1700	1712	1815	1514	1841	1824	2008
PD5847h_lo0026	1223	1225	1250	1005	1332	2981	2507	1544	1332	1612	0	1214	1255	1326	2804	2896	2673	1608	1560	1891	2907	1462	2810	1664	2838	1626	1598	1483	1403	1707	1536	1515	3211	1626	2773	1513	1481	1129	2985	1408	1635	1557	1509	1656	1650	1266	1651	1143	1524	1563	1552	2888	1872	1586	1295	1520	2640	1594	1531	1803	1641	1508	1464	1861	1427	1150	1243	1622	1139	2428	2784	1188	2941	1182	1544	1371	1202	1838	3068	3092	1633	1401	1566	1554	1481	1185	1790	1515	2970	1572	1518	1635	1220	1605	1610	1724
PD5847h_lo0027	1115	1145	1172	1285	1270	2911	2447	1462	1248	1548	1214	0	1185	1254	2738	2830	2619	1532	1482	1811	2839	1380	2762	1590	2786	1532	1536	1417	1337	1605	1456	1449	3179	1550	2731	1467	1407	1033	2903	1342	1547	1469	1449	1524	1564	1198	1561	1069	1440	1487	1480	2848	1794	1530	1207	1450	2582	1528	1457	1749	1551	1408	1382	1777	1347	1066	1169	1528	1053	2362	2704	1112	2883	1100	1470	1287	1128	1772	3018	3028	1561	1331	1474	1472	1385	1105	1714	1463	2906	1498	1432	1553	1152	1525	1522	1678
PD5847h_lo0029	1174	1162	1209	1318	1243	2906	2422	1491	1215	1531	1255	1185	0	1241	2727	2805	2606	1459	1491	1812	2834	1389	2745	1597	2739	1549	1571	1412	1372	1622	1463	1430	3174	1529	2702	1440	1442	1058	2914	1353	1546	1444	1430	1605	1581	1145	1578	1088	1415	1434	1393	2829	1809	1477	1212	1415	2557	1523	1450	1734	1572	1427	1341	1760	1368	1047	1162	1515	1048	2345	2697	1131	2852	1143	1471	1314	1143	1763	3011	3029	1564	1308	1485	1485	1398	1100	1719	1414	2895	1499	1435	1538	1139	1452	1523	1639
PD5847h_lo0032	1243	1235	1286	1385	1334	2935	2455	1560	1306	1466	1326	1254	1241	0	2730	2820	2627	1596	1500	1809	2839	1470	2742	1444	2750	1538	1636	1473	1425	1643	1486	1451	3219	1626	2719	1531	1501	1125	2935	1420	1545	1543	1521	1684	1588	1256	1657	1163	1516	1557	1542	2830	1820	1588	1307	1530	2594	1546	1491	1735	1569	1506	1462	1769	1435	1138	1173	1544	1119	2368	2724	1192	2887	1210	1554	1387	1212	1766	3024	3048	1557	1393	1544	1472	1385	1173	1728	1517	2922	1162	1434	1533	1218	1587	1552	1754
PD5847h_lo0033	2717	2721	2772	2865	2814	2877	2413	3048	2804	3002	2804	2738	2727	2730	0	2766	2591	3090	2972	2969	2819	2936	2748	3066	2796	3034	3114	2979	2911	3087	2964	2939	3135	3106	2773	3029	3011	2637	2901	2910	3029	3047	3007	3170	3070	2756	3111	2655	2970	3049	3010	2784	2954	3072	2793	2986	2630	2720	2977	3161	3053	2982	2960	3237	2917	2638	2653	2698	2621	2404	2698	2680	2853	2708	3056	2877	2718	2906	2990	3098	3037	2883	3000	2978	2891	2681	2932	3011	2884	3008	2952	3053	2738	3071	3010	3212
PD5847h_lo0097	2799	2829	2856	2929	2880	2947	2497	3098	2900	3112	2896	2830	2805	2820	2766	0	2631	3184	3054	3045	2891	3024	2798	3152	2854	3106	3210	3047	3013	3167	3056	3045	3183	3176	2841	3093	3087	2705	2967	2978	3127	3107	3077	3228	3140	2842	3195	2745	3072	3095	3104	2820	3038	3136	2869	3082	2694	2816	3049	3245	3113	3086	3032	3337	3011	2728	2753	2786	2719	2504	2752	2774	2959	2806	3120	2969	2802	3004	3056	3134	3135	2961	3128	3076	2977	2747	2972	3103	2952	3096	3022	3111	2804	3159	3102	3296
PD5847h_lo0098	2608	2624	2643	2728	2701	2758	2274	2931	2673	2899	2673	2619	2606	2627	2591	2631	0	2961	2821	2836	2704	2835	2595	2963	2653	2929	2983	2860	2808	3000	2835	2834	2972	2973	2646	2894	2858	2504	2768	2791	2908	2918	2880	3033	2923	2639	3008	2530	2873	2912	2917	2639	2853	2951	2664	2887	2507	2603	2864	3086	2930	2873	2849	3152	2784	2513	2542	2555	2504	2271	2527	2567	2726	2591	2931	2754	2599	2815	2855	2947	2920	2758	2923	2871	2782	2576	2797	2874	2735	2895	2817	2930	2605	2930	2901	3111
PD5847h_lo0099	1531	1505	1560	1653	1586	3239	2793	1828	1564	1872	1608	1532	1459	1596	3090	3184	2961	0	1828	2149	3193	1716	3112	1928	3118	1888	1904	1761	1703	1943	1796	1787	3505	1866	3051	1757	1779	1407	3271	1690	1861	1759	1759	1930	1896	1492	1907	1427	1734	1791	1760	3164	2162	1842	1537	1768	2920	1888	1803	2075	1887	1782	1692	2103	1691	1388	1511	1874	1397	2704	3052	1480	3227	1498	1844	1649	1494	2120	3364	3376	1907	1661	1818	1826	1743	1455	2048	1755	3250	1828	1780	1845	1508	1799	1864	1966
PD5847h_lo0100	1455	1461	1516	1623	1566	3157	2681	1778	1542	1770	1560	1482	1491	1500	2972	3054	2821	1828	0	2039	3049	1678	2984	1814	2978	1742	1856	1705	1661	1827	1674	1663	3389	1826	2937	1721	1735	1341	3129	1648	1767	1767	1715	1900	1752	1474	1859	1385	1712	1765	1786	3064	2036	1810	1525	1708	2798	1778	1711	1949	1743	1726	1670	1987	1665	1372	1401	1770	1345	2590	2928	1416	3091	1426	1774	1607	1446	2000	3228	3268	1783	1615	1764	1718	1601	1393	1936	1729	3152	1700	1658	1787	1444	1811	1738	1966
PD5847h_lo0101	1806	1776	1845	1924	1895	3146	2674	2129	1869	2091	1891	1811	1812	1809	2969	3045	2836	2149	2039	0	3052	2017	2967	2157	2997	2089	2189	2006	1980	2194	2025	2000	3376	2169	2966	2076	2060	1698	3138	1987	2088	2094	2078	2219	2129	1825	2210	1720	2071	2096	2099	3047	2031	2137	1854	2067	2843	1793	2038	2278	2096	2057	2053	2334	2000	1697	1728	1769	1684	2601	2915	1751	3110	1767	2099	1940	1773	1989	3253	3283	2106	1948	2115	2067	1956	1734	1981	2044	3117	2065	2005	2124	1787	2150	2119	2313
PD5847h_lo0102	2820	2816	2875	2954	2925	2988	2498	3135	2903	3127	2907	2839	2834	2839	2819	2891	2704	3193	3049	3052	0	3041	2815	3187	2879	3105	3215	3038	3000	3208	3033	3064	3224	3177	2846	3114	3084	2730	2986	2999	3130	3116	3084	3247	3143	2861	3250	2758	3103	3134	3113	2879	3051	3151	2888	3097	2725	2813	3080	3304	3132	3105	3037	3342	3006	2747	2758	2789	2734	2517	2793	2797	2964	2811	3139	2958	2831	3015	3083	3203	3132	2986	3125	3063	2976	2768	3003	3098	2933	3083	3019	3120	2807	3184	3121	3299
