	PD6629aa	PD6629ab	PD6629ac	PD6629ad	PD6629af	PD6629ag	PD6629ah	PD6629ai	PD6629aj	PD6629ak	PD6629al	PD6629an	PD6629ao	PD6629ap	PD6629aq	PD6629as	PD6629db_lo0001	PD6629db_lo0002	PD6629db_lo0003	PD6629db_lo0005	PD6629db_lo0006	PD6629db_lo0007	PD6629db_lo0008	PD6629db_lo0009	PD6629db_lo0011	PD6629db_lo0012	PD6629db_lo0013	PD6629db_lo0014	PD6629db_lo0015	PD6629db_lo0016	PD6629db_lo0017	PD6629db_lo0018	PD6629db_lo0019	PD6629db_lo0020	PD6629db_lo0022	PD6629db_lo0023	PD6629db_lo0024	PD6629db_lo0025	PD6629db_lo0026	PD6629db_lo0027	PD6629db_lo0028	PD6629db_lo0029	PD6629db_lo0030	PD6629db_lo0031	PD6629db_lo0032	PD6629db_lo0033	PD6629db_lo0035	PD6629db_lo0036	PD6629j	PD6629k	PD6629n	PD6629o	PD6629p	PD6629r	PD6629u	PD6629v	PD6629w	PD6629x	PD6629y
PD6629aa	0	2335	1836	1664	1733	1780	1954	1756	1860	1894	1790	2725	1690	1808	1726	1799	2871	2368	2746	2769	2789	2058	2780	2799	2433	2657	1863	2183	2265	3183	1889	2776	2622	2741	2703	1851	2603	1923	3035	2668	3153	1903	3169	2004	2779	2745	2787	2381	2845	2344	1784	1872	2511	2529	1736	1798	1822	1828	1777
PD6629ab	2335	0	2415	2239	2300	2385	2549	2331	2405	2461	2371	2578	2319	2377	2291	2388	2786	2915	2625	2250	2694	2653	2691	2734	3018	3216	2440	2782	2812	3054	2442	2669	3191	2636	2592	2414	2138	2506	2900	2545	3176	2490	3074	2549	2648	3254	2630	2946	2752	2243	2363	2435	2404	2430	2315	2377	2423	2405	2358
PD6629ac	1836	2415	0	1526	1795	1656	1840	1820	1802	1748	1862	2791	1792	1744	1598	1487	2937	2386	2818	2837	2849	1916	2848	2891	2293	2693	1929	2053	2301	3269	1933	2840	2218	2815	2781	1903	2673	1941	3093	2754	3225	1773	3277	2058	2861	2721	2863	2421	2919	2404	1656	1928	2585	2607	1782	1662	1686	1862	1767
PD6629ad	1664	2239	1526	0	1623	1054	1218	1652	1660	1608	1702	2627	1670	1602	996	1501	2817	2244	2656	2673	2719	1790	2708	2755	2069	2561	1785	1451	2151	3133	1791	2704	2364	2669	2645	1737	2519	1749	2957	2598	3081	1639	3123	1892	2697	2575	2747	2285	2789	2290	1054	1766	2439	2463	1640	1062	1106	1680	1637
PD6629af	1733	2300	1795	1623	0	1747	1915	1493	1805	1861	1735	2700	1729	1767	1685	1762	2850	2341	2711	2732	2756	2045	2761	2810	2412	2500	1788	2140	2184	3140	1850	2763	2599	2718	2696	1792	2594	1872	2992	2641	3144	1890	3158	1925	2752	2704	2774	2324	2824	2323	1745	1827	2474	2500	1625	1773	1785	1797	1746
PD6629ag	1780	2385	1656	1054	1747	0	1376	1776	1774	1714	1802	2749	1774	1718	1104	1623	2911	2350	2774	2795	2837	1898	2828	2845	2181	2659	1901	1589	2261	3227	1909	2800	2476	2781	2739	1859	2643	1885	3073	2714	3151	1755	3215	2014	2805	2701	2843	2383	2899	2386	1102	1886	2545	2575	1736	1144	1216	1772	1739
PD6629ah	1954	2549	1840	1218	1915	1376	0	1956	1936	1904	1992	2933	1936	1882	1310	1791	3107	2512	2948	2983	3019	2088	3002	3017	2361	2851	2083	1737	2407	3397	2077	2986	2642	2961	2893	2049	2793	2059	3245	2880	3337	1927	3395	2172	2987	2857	3031	2559	3075	2562	1380	2060	2709	2765	1928	1388	1416	1950	1901
PD6629ai	1756	2331	1820	1652	1493	1776	1956	0	1820	1886	1764	2711	1724	1774	1698	1779	2865	2356	2730	2753	2791	2042	2784	2803	2403	2511	1793	2167	2205	3177	1859	2770	2586	2731	2705	1817	2613	1907	3029	2672	3133	1911	3185	1966	2755	2709	2815	2361	2833	2342	1776	1842	2513	2523	1636	1784	1812	1802	1771
PD6629aj	1860	2405	1802	1660	1805	1774	1936	1820	0	1866	1884	2821	1852	1274	1710	1779	2953	2428	2810	2851	2883	2040	2912	2897	2399	2693	1957	2157	2321	3259	1983	2880	2608	2831	2789	1933	2699	1951	3115	2776	3243	1901	3303	2066	2859	2745	2901	2465	2951	2432	1760	1950	2603	2639	1810	1802	1808	1892	1803
PD6629ak	1894	2461	1748	1608	1861	1714	1904	1886	1866	0	1930	2863	1888	1824	1664	1733	3013	2462	2874	2871	2919	1954	2924	2955	2363	2767	2025	2123	2349	3305	1991	2918	2524	2875	2817	1947	2735	1991	3159	2814	3271	1819	3327	2108	2919	2791	2931	2457	2993	2490	1738	1972	2641	2681	1842	1750	1758	1918	1825
