	PD6634d_lo0001	PD6634d_lo0002	PD6634d_lo0003	PD6634d_lo0004	PD6634d_lo0005	PD6634d_lo0006	PD6634d_lo0007	PD6634d_lo0008	PD6634d_lo0011	PD6634d_lo0013	PD6634d_lo0014	PD6634d_lo0015	PD6634d_lo0016	PD6634d_lo0017	PD6634d_lo0018	PD6634d_lo0019	PD6634d_lo0020	PD6634d_lo0022	PD6634d_lo0023	PD6634d_lo0024	PD6634d_lo0025	PD6634d_lo0026	PD6634d_lo0027	PD6634d_lo0028	PD6634d_lo0029	PD6634d_lo0031	PD6634d_lo0033	PD6634d_lo0034	PD6634d_lo0035	PD6634d_lo0036	PD6634d_lo0037	PD6634d_lo0038	PD6634d_lo0039	PD6634d_lo0040	PD6634d_lo0042	PD6634d_lo0043
PD6634d_lo0001	0	1975	2398	1948	1306	1309	1518	2178	1921	1941	1227	2153	1902	1961	1405	2024	1794	1954	1985	1972	1110	2499	1931	2543	1898	2570	1539	1383	1415	1853	1433	2113	2398	2259	2413	2425
PD6634d_lo0002	1975	0	2301	1873	1743	1726	1961	2091	1354	1864	1708	2076	1317	1274	1852	429	1335	1867	1240	1403	1793	2400	1842	2446	1345	2475	1568	1594	1840	1760	2150	1562	2319	2162	2340	2342
PD6634d_lo0003	2398	2301	0	2046	2174	2137	2402	1100	2271	2165	2135	1895	2226	2297	2299	2362	2132	1986	2327	2286	2238	1979	2169	1989	2248	2266	1991	1989	2295	2057	2575	2479	2490	2355	2549	2543
PD6634d_lo0004	1948	1873	2046	0	1714	1695	1938	1804	1847	1717	1685	1797	1770	1861	1829	1888	1660	1568	1895	1868	1776	2117	1705	2141	1792	2218	1507	1561	1837	1615	2137	2031	1618	1087	1647	1649
PD6634d_lo0005	1306	1743	2174	1714	0	903	984	1944	1723	1723	1063	1917	1658	1735	989	1810	1582	1746	1759	1746	1166	2267	1721	2307	1690	2334	1325	1187	1047	1627	1491	1923	2192	2031	2215	2229
PD6634d_lo0006	1309	1726	2137	1695	903	0	1119	1931	1724	1712	1062	1898	1641	1718	688	1801	1565	1713	1746	1727	1175	2250	1722	2290	1665	2313	1324	1196	1052	1622	1494	1906	2177	2020	2178	2198
PD6634d_lo0007	1518	1961	2402	1938	984	1119	0	2172	1923	1943	1261	2163	1870	1947	1195	2010	1784	1958	1973	1954	1390	2483	1955	2541	1904	2554	1549	1403	1253	1841	1689	2107	2404	2243	2417	2437
PD6634d_lo0008	2178	2091	1100	1804	1944	1931	2172	0	2045	1915	1929	1623	1988	2075	2071	2150	1900	1754	2099	2066	2008	1733	1941	1767	2024	2022	1747	1777	2053	1831	2369	2259	2262	2123	2313	2315
PD6634d_lo0011	1921	1354	2271	1847	1723	1724	1923	2045	0	1828	1676	2058	1189	1366	1842	1427	1331	1845	1392	1227	1781	2398	1828	2442	1193	2451	1536	1558	1838	1738	2124	1400	2301	2154	2314	2324
PD6634d_lo0013	1941	1864	2165	1717	1723	1712	1943	1915	1828	0	1672	1912	1755	1852	1824	1907	1685	1719	1892	1859	1775	2246	1528	2294	1791	2293	1534	1564	1816	1532	2130	2000	2183	2026	2198	2228
PD6634d_lo0014	1227	1708	2135	1685	1063	1062	1261	1929	1676	1672	0	1898	1643	1704	1168	1757	1539	1707	1744	1707	1081	2222	1674	2278	1655	2301	1308	1142	1180	1596	1422	1890	2141	1990	2162	2182
PD6634d_lo0015	2153	2076	1895	1797	1917	1898	2163	1623	2058	1912	1898	0	1987	2060	2050	2135	1903	1763	2094	2083	1981	1966	1904	1998	2003	1763	1754	1728	2056	1828	2316	2256	2271	2114	2280	2298
PD6634d_lo0016	1902	1317	2226	1770	1658	1641	1870	1988	1189	1755	1643	1987	0	1311	1751	1356	1268	1780	1327	1220	1714	2325	1769	2367	1148	2400	1473	1493	1755	1677	2059	1369	2210	2061	2245	2253
PD6634d_lo0017	1961	1274	2297	1861	1735	1718	1947	2075	1366	1852	1704	2060	1311	0	1834	1315	1345	1865	1282	1395	1767	2392	1844	2448	1317	2477	1552	1590	1842	1752	2132	1550	2291	2166	2338	2346
PD6634d_lo0018	1405	1852	2299	1829	989	688	1195	2071	1842	1824	1168	2050	1751	1834	0	1909	1685	1849	1870	1833	1257	2374	1846	2406	1787	2449	1434	1290	1130	1730	1586	2020	2289	2134	2310	2330
