	PD7271c_lo0001	PD7271c_lo0002	PD7271c_lo0003	PD7271c_lo0004	PD7271c_lo0005	PD7271c_lo0006	PD7271c_lo0007	PD7271c_lo0008	PD7271c_lo0009	PD7271c_lo0010	PD7271c_lo0012	PD7271c_lo0013	PD7271c_lo0014	PD7271c_lo0015	PD7271c_lo0016	PD7271c_lo0017	PD7271c_lo0018	PD7271c_lo0019	PD7271c_lo0020	PD7271c_lo0021	PD7271c_lo0022	PD7271c_lo0024	PD7271c_lo0025	PD7271c_lo0026	PD7271c_lo0027	PD7271c_lo0028	PD7271c_lo0029	PD7271c_lo0030	PD7271c_lo0031	PD7271c_lo0032	PD7271c_lo0033	PD7271c_lo0035	PD7271c_lo0036	PD7271c_lo0037	PD7271c_lo0039	PD7271c_lo0040	PD7271c_lo0041	PD7271c_lo0042	PD7271c_lo0044	PD7271c_lo0045	PD7271c_lo0046	PD7271c_lo0047	PD7271c_lo0048	PD7271c_lo0049	PD7271c_lo0050	PD7271c_lo0052	PD7271c_lo0053	PD7271c_lo0054	PD7271c_lo0055	PD7271c_lo0056	PD7271c_lo0057	PD7271c_lo0058	PD7271c_lo0059	PD7271c_lo0060	PD7271c_lo0061	PD7271c_lo0062	PD7271c_lo0063	PD7271c_lo0064	PD7271c_lo0065	PD7271c_lo0066	PD7271c_lo0067	PD7271c_lo0068	PD7271c_lo0069	PD7271c_lo0070	PD7271c_lo0071	PD7271c_lo0072	PD7271c_lo0073	PD7271c_lo0074	PD7271c_lo0075	PD7271c_lo0076	PD7271c_lo0077	PD7271c_lo0078	PD7271c_lo0079	PD7271c_lo0080	PD7271c_lo0081	PD7271c_lo0082	PD7271c_lo0083	PD7271c_lo0084	PD7271c_lo0085	PD7271c_lo0086	PD7271c_lo0087	PD7271c_lo0088	PD7271c_lo0089	PD7271c_lo0090	PD7271c_lo0091	PD7271c_lo0092	PD7271c_lo0093	PD7271c_lo0094
PD7271c_lo0001	0	2501	2451	2635	2446	2243	2417	2491	2565	2490	2753	2502	2558	2642	2514	2499	2571	2179	3340	2649	2946	2679	2176	2432	2312	2498	2379	2303	2488	2395	2457	2710	2192	2360	2406	2315	2614	2382	2602	2780	2920	2844	2650	2585	2475	2523	2571	2749	2109	2396	2564	2716	2350	2660	2472	2315	2728	2520	2767	2426	2758	2480	2809	2611	2817	2618	2620	2778	2775	2540	2535	2291	2719	2577	2747	2569	2655	2568	2376	2569	2537	2538	2748	2606	2605	2863	2545	2393
PD7271c_lo0002	2501	0	2314	2502	2287	2104	2262	2352	2448	2369	2606	2373	2407	2509	2385	2340	2428	2046	3189	2520	2831	2544	2067	2289	2179	2381	2276	2184	2337	2232	2322	2619	2067	2239	2305	2170	2479	2237	2465	2683	2765	2705	2531	2436	2346	2382	2428	2620	1964	2265	2437	2601	2177	2529	2345	2170	2605	2363	2610	2309	2657	2337	2666	2518	2700	2471	2485	2697	2612	2401	2444	2176	2622	2422	2608	2442	2542	2435	2227	2458	2378	2409	2603	2479	2466	2712	2424	2252
PD7271c_lo0003	2451	2314	0	2462	2263	2078	2254	2320	2438	2321	2564	2369	2429	2461	2359	2308	2404	2008	3183	2504	2791	2540	2027	2245	2159	2361	2232	2172	2327	2220	2294	2567	2067	2189	2275	2146	2469	2231	2447	2661	2745	2701	2527	2400	2324	2356	2414	2578	1942	2219	2385	2575	2181	2505	2313	2148	2581	2341	2584	2261	2601	2325	2652	2484	2694	2455	2465	2651	2616	2375	2402	2138	2594	2406	2606	2422	2524	2427	2185	2408	2382	2387	2591	2447	2430	2700	2402	2240
PD7271c_lo0004	2635	2502	2462	0	2449	2246	2422	2512	2576	2491	2750	2521	2583	2647	2543	2490	2568	2192	3355	2688	2991	2706	2221	2439	2327	2549	2418	2346	2497	2416	2456	2773	2239	2389	2445	2342	2653	2395	2629	2819	2933	2869	2703	2574	2492	2522	2596	2746	2116	2425	2579	2747	2371	2685	2499	2330	2725	2513	2774	2463	2807	2503	2830	2648	2854	2615	2619	2805	2746	2533	2526	2328	2754	2588	2746	2608	2666	2609	2389	2582	2542	2539	2775	2557	2628	2856	2594	2422
PD7271c_lo0005	2446	2287	2263	2449	0	2069	2215	2135	2401	2310	2545	2318	2374	2448	2362	2279	2385	1949	3172	2485	2782	2305	2004	2210	1696	2326	2219	2157	2296	2191	2265	2560	2020	2166	2222	2097	2452	2188	2224	2458	2530	2632	2466	2365	2125	2335	2383	2571	1903	2030	2376	2534	2148	2294	2280	2109	2366	2130	2539	2234	2412	2086	2625	2285	2661	2446	2446	2618	2561	2350	2369	2073	2557	2203	2543	2387	2487	2210	2162	2217	2335	2208	2596	2392	2419	2645	2387	2209
PD7271c_lo0006	2243	2104	2078	2246	2069	0	2000	2098	2232	2123	2390	2141	2187	2263	2151	2092	2190	1808	2981	2286	2617	2284	1821	2069	1919	2139	2030	1956	2111	2008	2088	2363	1837	1971	2073	1942	2273	2013	2233	2421	2535	2479	2287	2202	2116	2148	2196	2396	1726	2013	2215	2393	1977	2267	2097	1932	2355	2107	2378	2087	2409	2103	2440	2254	2480	2239	2239	2457	2386	2153	2194	1914	2358	2216	2394	2242	2304	2213	1989	2206	2174	2169	2401	2247	2224	2506	2212	2040
PD7271c_lo0007	2417	2262	2254	2422	2215	2000	0	2256	2384	2281	2498	2279	2331	2421	2297	2252	2378	1958	3153	2430	2759	2466	1983	2217	2109	2289	2186	2124	2275	2176	2252	2517	1995	2161	2211	2112	2427	2175	2389	2589	2677	2637	2447	2362	2286	2310	2358	2548	1892	2185	2371	2511	2093	2441	2253	2080	2493	2301	2534	2245	2559	2273	2598	2426	2614	2403	2421	2625	2562	2307	2346	2092	2502	2364	2542	2368	2456	2359	2143	2358	2312	2331	2529	2345	2374	2638	2352	2190
PD7271c_lo0008	2491	2352	2320	2512	2135	2098	2256	0	2450	2359	2576	2379	2425	2485	2387	2340	2420	2028	3205	2514	2849	2324	2063	2301	1993	2393	2268	2184	2371	2246	2330	2581	2079	2215	2277	2130	2463	2265	2255	2501	2607	2693	2497	2392	2150	2372	2434	2624	1958	2089	2433	2615	2203	2319	2339	2170	2179	2183	2594	2283	2473	2161	2646	2286	2724	2477	2481	2663	2612	2401	2414	2164	2608	2246	2628	2418	2530	2245	2223	2210	2370	2211	2629	2453	2464	2726	2442	2246
PD7271c_lo0009	2565	2448	2438	2576	2401	2232	2384	2450	0	2483	2690	2509	2513	2605	2497	2462	2564	2162	3319	2648	2953	2654	2173	2427	2283	2477	2378	2292	2469	2370	2428	2709	2189	2333	2413	2292	2607	2359	2589	2773	2915	2837	2663	2554	2450	2506	2580	2732	2088	2359	2587	2717	2325	2615	2461	2284	2705	2481	2706	2405	2757	2443	2780	2638	2814	2593	2587	2737	2730	2501	2532	2282	2714	2560	2706	2546	2642	2557	2331	2566	2518	2529	2737	2565	2544	2832	2526	2392
PD7271c_lo0010	2490	2369	2321	2491	2310	2123	2281	2359	2483	0	2609	2398	2456	2514	2408	2367	2431	2055	3230	2527	2842	2565	2068	2302	2216	2390	2269	2185	2346	2259	2357	2610	2088	2240	2300	2219	2496	2280	2476	2678	2788	2716	2538	2459	2345	2399	2447	2637	1983	2288	2426	2620	2234	2540	2322	2179	2604	2384	2643	2340	2664	2358	2675	2515	2719	2492	2500	2694	2611	2416	2439	2181	2609	2459	2619	2467	2523	2450	2230	2459	2407	2420	2620	2468	2487	2729	2441	2289
