	PD9478aa	PD9478ab	PD9478ad	PD9478ae	PD9478ah	PD9478aj	PD9478ak	PD9478am	PD9478an	PD9478ap	PD9478aq	PD9478ar	PD9478as	PD9478at	PD9478au	PD9478av	PD9478aw	PD9478ax	PD9478ay	PD9478az	PD9478ba	PD9478bb	PD9478bc	PD9478bd	PD9478be	PD9478bg	PD9478bh	PD9478bi	PD9478bj	PD9478bk	PD9478bm	PD9478bn	PD9478bp	PD9478bq	PD9478br	PD9478bt	PD9478bv	PD9478bw	PD9478bx	PD9478by	PD9478bz	PD9478ca	PD9478cb	PD9478cc	PD9478cd	PD9478ce	PD9478cf	PD9478cg	PD9478ch	PD9478ci	PD9478cj	PD9478ck	PD9478cl	PD9478cm	PD9478cn	PD9478co	PD9478cp	PD9478cq	PD9478cr	PD9478cs	PD9478ct	PD9478cu	PD9478cv	PD9478cw	PD9478cx	PD9478cy	PD9478cz	PD9478da	PD9478db	PD9478dc	PD9478l	PD9478n	PD9478o	PD9478p	PD9478q	PD9478r	PD9478t	PD9478v	PD9478w	PD9478z
PD9478aa	0	1734	1358	1519	1583	1606	1540	1535	3298	1636	1461	1541	3178	1537	1227	1727	1653	1710	1725	1722	1801	1708	1594	1690	1853	1751	1717	1832	1778	1933	1682	3337	1804	1623	1666	1756	3652	1611	1558	1713	1739	1793	1702	1728	1775	1461	1667	3468	1774	3252	1679	1660	1753	1634	1806	1585	3227	1423	1601	1651	1599	1642	3545	3294	1719	1874	1837	1751	1651	1677	1478	1416	1579	1711	1594	1571	1637	1572	1655	1590
PD9478ab	1734	0	1658	1739	1395	1856	1722	1537	3498	1836	1747	1365	3386	1723	1673	2087	1815	1930	1935	1952	1695	1818	1558	1520	2041	1993	1571	2068	2010	1731	1934	3543	1998	1833	1662	1900	3838	2027	1806	2013	1541	1965	1652	1974	1965	1803	1885	3650	1916	3464	1611	1884	1949	1778	1830	1931	3451	1811	1619	1841	1949	1756	3735	3496	1615	1876	1957	1553	2009	1921	1428	1640	1397	1893	1850	1711	1661	1758	1871	1834
PD9478ad	1358	1658	0	1407	1473	1514	1452	1433	3208	1540	1261	1437	3104	1455	1291	1733	1563	1632	1613	1608	1695	1618	1508	1600	1729	1661	1635	1722	1680	1829	1570	3249	1712	1513	1566	1630	3576	1647	1462	1569	1647	1697	1608	1626	1697	1445	1591	3380	1688	3174	1585	1558	1655	1542	1704	1569	3155	1415	1527	1569	1587	1542	3457	3214	1625	1766	1769	1635	1635	1573	1386	1318	1479	1617	1496	1487	1525	1470	1553	1494
PD9478ae	1519	1739	1407	0	1554	1607	1521	1508	3295	1647	1506	1532	3185	1544	1432	1850	1636	1711	1700	1561	1776	1699	1589	1691	1822	1750	1716	1823	1765	1910	1659	3332	1775	1586	1655	1723	3655	1762	1555	1776	1716	1764	1689	1727	1784	1580	1680	3461	1749	3245	1670	1493	1728	1635	1821	1690	3238	1558	1596	1656	1714	1617	3536	3299	1702	1875	1830	1746	1768	1668	1469	1411	1564	1706	1603	1570	1626	1545	1646	1401
PD9478ah	1583	1395	1473	1554	0	1689	1559	1362	3311	1673	1580	1196	3207	1572	1508	1888	1630	1765	1780	1799	1528	1679	1393	1357	1860	1824	1392	1903	1829	1566	1761	3388	1833	1654	1513	1749	3697	1856	1635	1840	1296	1810	1497	1811	1794	1648	1704	3487	1757	3293	1462	1723	1766	1619	1667	1750	3278	1634	1440	1670	1798	1583	3572	3355	1468	1707	1800	1394	1840	1744	1251	1473	1228	1722	1659	1548	1490	1581	1686	1613
PD9478aj	1606	1856	1514	1607	1689	0	1634	1619	3384	1748	1607	1645	3296	1637	1529	1955	1743	1816	1803	1804	1827	1836	1704	1820	1935	1647	1831	1738	1660	2045	1492	3417	1900	1727	1762	1824	3760	1873	1560	1879	1865	1891	1796	1690	1909	1669	1791	3560	1886	3166	1807	1770	1809	1732	1914	1797	3337	1663	1721	1765	1831	1746	3633	3406	1849	1996	1961	1849	1869	1781	1596	1536	1681	1789	1612	1671	1759	1668	1769	1700
PD9478ak	1540	1722	1452	1521	1559	1634	0	1507	3308	1642	1549	1519	3192	1255	1467	1879	1633	1740	1737	1742	1757	1698	1576	1694	1813	1767	1695	1892	1808	1899	1724	3361	1792	1637	1642	1714	3676	1813	1602	1809	1729	1765	1692	1768	1783	1601	1675	3464	1754	3250	1657	1686	1739	1628	1786	1737	3247	1601	1573	1213	1767	1616	3541	3308	1711	1844	1839	1709	1827	1713	1458	1438	1557	1685	1658	1557	1617	1560	1667	1636
PD9478am	1535	1537	1433	1508	1362	1619	1507	0	3255	1611	1522	1318	3159	1494	1450	1846	1576	1707	1722	1729	1584	1613	1389	1497	1800	1768	1502	1855	1819	1706	1701	3316	1781	1602	1339	1683	3639	1778	1569	1792	1542	1752	1509	1751	1750	1580	1644	3441	1703	3223	1490	1679	1726	1569	1609	1714	3214	1576	1198	1610	1750	1535	3502	3293	1514	1639	1744	1550	1800	1692	1255	1419	1376	1664	1625	1496	1418	1533	1640	1597
PD9478an	3298	3498	3208	3295	3311	3384	3308	3255	0	3342	3291	3283	3004	3297	3231	3639	3389	3486	3495	3490	3541	3476	3334	3454	3563	3543	3465	3620	3562	3667	3452	3271	3514	3385	3416	3462	3444	3543	3350	3563	3489	3517	3444	3536	3557	3363	3427	3340	3518	3538	3451	3444	3495	3382	3546	3469	3049	3349	3359	3411	3519	3390	3353	3104	3481	3602	3589	3505	3573	3443	3212	3184	3313	3435	3382	3309	3371	3308	3409	3356
PD9478ap	1636	1836	1540	1647	1673	1748	1642	1611	3342	0	1649	1627	3296	1639	1559	1991	1735	1838	1837	1850	1873	1804	1690	1802	1729	1897	1803	1954	1920	2009	1804	3451	1834	1727	1738	1788	3748	1913	1712	1927	1829	1813	1792	1882	1903	1713	1599	3544	1864	3362	1751	1802	1675	1734	1884	1815	3323	1701	1693	1747	1851	1714	3609	3390	1807	1962	1929	1837	1911	1801	1558	1546	1667	1787	1728	1663	1727	1646	1771	1724
PD9478aq	1461	1747	1261	1506	1580	1607	1549	1522	3291	1649	0	1540	3191	1546	1396	1826	1664	1721	1734	1745	1782	1721	1603	1699	1854	1744	1710	1829	1777	1926	1669	3346	1821	1616	1655	1749	3679	1722	1555	1670	1730	1804	1705	1719	1802	1546	1684	3473	1791	3269	1696	1669	1746	1623	1797	1668	3238	1530	1598	1664	1692	1633	3544	3319	1712	1865	1842	1748	1750	1692	1469	1433	1572	1710	1613	1572	1636	1567	1668	1599
PD9478ar	1541	1365	1437	1532	1196	1645	1519	1318	3283	1627	1540	0	3131	1526	1454	1844	1610	1711	1736	1769	1470	1637	1349	1317	1822	1800	1364	1867	1813	1538	1715	3346	1801	1620	1473	1711	3639	1810	1593	1810	1376	1762	1469	1779	1752	1606	1656	3445	1717	3245	1412	1697	1738	1593	1633	1722	3236	1586	1398	1634	1752	1555	3532	3307	1410	1673	1750	1364	1804	1702	1203	1427	1182	1684	1639	1518	1448	1553	1670	1621
PD9478as	3178	3386	3104	3185	3207	3296	3192	3159	3004	3296	3191	3131	0	3185	3125	3081	3313	3384	3391	3386	3455	3368	3238	3340	3461	3431	3365	3524	3466	3555	3366	3185	3448	3285	3314	3392	3368	3461	3254	3473	3375	3437	3342	3430	3453	3269	3337	3252	3430	3466	3327	3352	3409	3280	3490	3395	2967	3255	3255	3305	3417	3288	3269	3044	3367	3528	3481	3391	3463	3367	3122	3062	3203	3333	3292	3217	3293	3218	3303	3262
PD9478at	1537	1723	1455	1544	1572	1637	1255	1494	3297	1639	1546	1526	3185	0	1472	1886	1602	1721	1728	1759	1774	1693	1581	1669	1832	1790	1684	1869	1821	1908	1715	3368	1801	1630	1645	1735	3659	1790	1597	1828	1724	1778	1695	1775	1776	1628	1672	3465	1765	3261	1664	1701	1718	1617	1789	1728	3252	1596	1580	1366	1776	1623	3556	3307	1712	1859	1836	1728	1830	1698	1455	1445	1544	1698	1643	1544	1628	1565	1674	1621
PD9478au	1227	1673	1291	1432	1508	1529	1467	1450	3231	1559	1396	1454	3125	1472	0	1656	1570	1643	1630	1651	1728	1635	1527	1635	1764	1678	1648	1769	1691	1846	1585	3274	1735	1526	1595	1657	3583	1538	1487	1650	1680	1716	1635	1661	1710	1388	1594	3413	1701	3203	1618	1581	1676	1573	1735	1516	3178	1350	1522	1578	1518	1565	3458	3249	1652	1805	1786	1686	1590	1600	1409	1349	1506	1622	1523	1500	1588	1503	1576	1509
PD9478av	1727	2087	1733	1850	1888	1955	1879	1846	3639	1991	1826	1844	3081	1886	1656	0	1984	2065	2058	2063	2114	2033	1931	2025	2150	2090	2054	2175	2103	2246	2003	3664	2135	1942	1991	2075	3971	1962	1911	2072	2058	2126	2039	2083	2122	1548	2028	3807	2115	3491	2016	2003	2096	1979	2153	1842	3580	1794	1922	2012	1936	1983	3868	3655	2058	2199	2178	2070	2004	2012	1819	1769	1906	2034	1929	1938	1988	1905	2002	1941
PD9478aw	1653	1815	1563	1636	1630	1743	1633	1576	3389	1735	1664	1610	3313	1602	1570	1984	0	1827	1816	1875	1850	1769	1653	1753	1920	1884	1766	1963	1907	1968	1813	3462	1897	1724	1715	1813	3741	1912	1703	1916	1798	1872	1753	1865	1826	1700	1768	3569	1803	3371	1740	1797	1854	1641	1855	1814	3366	1684	1668	1740	1862	1685	3626	3425	1784	1935	1896	1790	1912	1774	1525	1551	1642	1810	1739	1596	1696	1657	1768	1731
